"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOQWYHKMLLCDEHJGH00619938";3;2018;23;1;66;18600;9300;1;247;3;2;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;97;0;2;0;0;0;244
"TQRMNORUUHLNLSCDEFJAH00589092";3;2018;3;1;6;8140;4070;1;240;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";1;1;"";4;2;1;1;"";1;1;1;2;2;2;2;1;0;98;0;0;0;181
"TQRMNOQSYHLONNCDEIJAH00593641";3;2018;33;2;6;15800;15800;1;2488;3;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;2;"";4;2;1;1;"";1;1;1;2;2;2;2;1;0;98;0;0;0;1953
"TQRMNORURHMNLTCDEHJGH00597381";3;2018;23;1;66;8000;2000;1;231;4;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;1;"";4;2;"";4;2;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;230
"TQRMNOQQRHJMMLCDEHJGH00614501";3;2018;23;1;66;86900;10862,5;1;234;7;6;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;8;2;6;1;"";7;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;3;4;0;0;227
"TQRMNOQVTHKOLPCDEHLEH00620177";3;2018;25;1;46;64000;21333,33;1;169;4;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;133
"TQRMNOQRWHKLLPCDEHNHB00620493";3;2018;27;1;70;17000;3400;1;354;4;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1;"";4;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;0;98;0;0;0;350
"TQRMNOPQPHJMLOCDEHJGH00614454";3;2018;23;1;66;20000;10000;1;240;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";3;2;"";3;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;240
"TQSMNOSSWHKNLSCDEHJGH00619999";3;2018;23;1;66;11800;3933,33;1;238;1;1;2;0;1;2;1;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2;"";1;2;"";4;2;1;1;"";1;1;1;1;2;1;2;1;0;3;0;0;0;235
"TQRMNOSWUHKOKTCDEIJAH00621575";3;2018;33;1;6;15000;7500;1;2510;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;2015
