CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNORSXHJKKSCDEJHBB00649919;3;2021;41;1;10;114000;22800;1;61;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;5;2;3;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;63
TQRMNORWQHJKKSCDEJHBB00649920;3;2021;41;1;10;23000;23000;1;60;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;59
TQRMNOPYRHKLLUCDEJHBB00649922;3;2021;41;1;10;150000;30000;1;130;5;4;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;5;0;5;1;;5;1;;1;1;1;1;;1;1;1;2;2;2;2;2;0;1;3;4;0;99
TQRMNOPXYHKKLOCDEJHBB00649923;3;2021;41;1;10;32000;10666,67;1;55;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;2;2;2;3;1;2;1;;3;1;;3;1;1;1;;1;1;1;2;2;2;2;1;0;97;0;0;0;53
TQRMNOPYPHKKLOCDEJHBB00649924;3;2021;41;1;10;75000;37500;1;37;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;;3;1;;3;1;1;1;;1;1;1;2;2;2;2;2;0;1;0;0;0;36
TQRMNOPQWHJMKMCDELIJB00650561;3;2021;62;1;90;25000;25000;1;281;4;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;268
TQRMNOQXSHKLLNCDELIJB00650563;3;2021;62;1;90;174000;43500;1;198;4;3;1;1;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;1;;4;1;;2;1;1;1;;1;1;1;1;2;1;2;1;2;98;0;0;0;166
TQRMNOQRSHJMKPCDELIJB00650564;3;2021;62;1;90;68000;13600;1;392;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;5;0;5;1;;4;1;;4;2;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;352
TQRMNOQRQHJMKPCDELIJB00650565;3;2021;62;1;90;32600;8150;1;492;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;;3;2;;4;2;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;456
TQRMNORRQHJLKRCDELIJB00650567;3;2021;62;1;90;45000;45000;1;93;1;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;1;1;;4;1;1;1;;1;1;1;3;2;2;2;96;0;97;0;0;0;88
