CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNORVPHMOKNCDEFIAH00787270;3;2022;2;1;6;50000;50000;1;1098;1;1;2;0;1;2;1;2;0;2;0;1;;1;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;986
TQRMNOQVUHKNKMCDEFOCD00788280;3;2022;8;1;22;107000;26750;1;131;2;2;2;0;2;2;2;0;0;0;0;2;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;2;2;1;;2;1;;4;2;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;127
TQRMNOSVQHKNKMCDEFOCD00788283;3;2022;8;1;22;121000;20166,67;1;151;2;2;2;0;2;2;2;0;0;0;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;6;0;6;1;;2;2;;4;2;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;155
TQRMNORSXHKMLRCDEGJBF00789026;3;2022;13;1;14;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;4;1;3;1;;2;1;;1;1;1;1;;1;1;1;3;2;2;2;1;2;3;0;0;0;1057
TQRMNOSUSHKMLRCDEGJBF00788978;3;2022;13;1;14;78000;19500;1;1170;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2;4;0;4;1;;2;2;;4;1;1;1;;1;1;1;2;2;2;2;2;0;1;0;0;0;1166
TQRMNOSPRHKLKUCDEHIBB00790059;3;2022;22;1;10;80000;80000;1;182;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;173
TQUMNORSXHKOOMCDEIJAH00791848;3;2022;33;1;6;100000;33333,33;1;6025;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;3;0;0;0;3133
TQRMNOQPYHKKLQCDEOHCH00792932;3;2022;91;1;26;145000;72500;1;244;3;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;227
TQRMNOQRQHJLKPCDEIOAH00792773;3;2022;38;1;82;147500;73750;1;371;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;98;0;0;0;298
TQRMNORSYHKNKOCDEGNFJ00789618;3;2022;17;1;58;97000;48500;1;322;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;5;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;259
TQRMNOQVUHKKKUCDEGLDF00789450;3;2022;15;1;34;160000;40000;1;237;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;232
TQRMNOSYYHKMKPCDEFPCH00788412;3;2022;9;1;26;82000;82000;1;394;4;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;404
TQRMNOQPSHMKKMCDEIOAH00792751;3;2022;38;1;6;0;0;1;0;6;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2;;6;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;140
TQRMNOSYRHKMKPCDEFPCH00788399;3;2022;9;1;26;147000;147000;1;252;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;256
TQRMNOPTSHKLKTCDEFLID00787851;3;2022;5;1;82;150000;150000;1;484;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;400
TQRMNOPTVHKLKTCDEFLID00787797;3;2022;5;1;82;500000;500000;1;762;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;96;0;1;0;0;0;531
TQRMNOQSYHKMKOCDEFMDB00788065;3;2022;6;1;30;0;0;1;0;3;1;2;0;2;2;2;0;0;0;0;1;;1;;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2;1;0;1;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;96;0;96;0;0;0;154
TQRMNOSTRHKMKOCDEFMDB00788070;3;2022;6;1;30;0;0;1;0;4;2;1;1;1;1;1;2;0;2;0;8;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;0;2;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;269
