"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V3";"V4";"V6";"V7";"V8";"V9";"V10";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA";"V2_01";"V21_01";"V22_01";"V2_02";"V21_02";"V22_02";"V2_03";"V21_03";"V22_03";"V5_01";"V5_02";"V5_03";"V11_01";"V11_02"
"TQRMNOSWXHJOKOCDEHMHF00863297";3;2024;26;1;74;650000;325000;1;136;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;119;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORTSHLNKPCDEHMHF00806244";3;2024;26;1;74;1200000;240000;1;171;5;4;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;1;"";5;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;3;5;0;0;117;1;2;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNORXVHMKLSCDEIIAD00812049";3;2024;32;1;2;0;0;1;0;3;2;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;39;1;1;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOTXQHMMLUCDEIIAD00854786";3;2024;32;1;2;1000000;1000000;1;5405;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;3724;1;1;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOQTSHMNMLCDEIIAD00854787";3;2024;32;1;2;0;0;1;0;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;923;1;1;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOSPXHKMLUCDEIIAD00869129";3;2024;32;1;2;900000;900000;1;1324;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;1033;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOTYYHKMLUCDEIIAD00869130";3;2024;32;51;2;380000;380000;1;1918;0;0;0;0;0;0;0;0;0;0;0;0;"";0;"";0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;1033;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOTYYHKMLUCDEIIAD00869130";3;2024;32;1;2;0;0;1;0;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;96;0;98;0;0;0;1889;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOPXQHLKMOCDEIIAD00807052";3;2024;32;1;2;0;0;1;0;3;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;549;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORUSHMKMNCDEIIAD00811899";3;2024;32;1;2;0;0;1;0;2;1;1;1;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;811;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSTRHMOMOCDEIIAD00812015";3;2024;32;2;2;450000;225000;1;2075;4;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;1676;1;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOYTSHJKMNCDEIIAD00864759";3;2024;32;1;2;2240000;224000;1;4367;3;2;2;0;1;1;2;2;0;2;0;4;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;10;1;9;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;0;3;0;0;0;1567;2;2;2;2;2;2;1;2;1;2;2;2;2;2
"TQRMNORSQHKMLOCDEIMBF00869131";3;2024;36;1;14;570000;285000;1;217;2;1;2;0;1;2;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";3;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;148;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOQSSHKMLPCDEIMBF00869132";3;2024;36;1;14;2500000;625000;1;710;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;4;1;3;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;164;0;2;2;0;2;2;0;2;2;2;2;2;2;2
