anio,fecha,la_rioja_region,exportaciones_millones_usd,indice_2015,share_nacional_pct,total_nacional_millones_usd,provisorio
2002,2002-01-01,3. La Rioja,135.015,58.35281812799024,0.5475444508033653,24658.271999999997,FALSE
2003,2003-01-01,1. Resto país,26800.997,52.284968070972404,93.5727251239356,28641.89,FALSE
2003,2003-01-01,2. NOA-Resto,1680.499,53.231187254156026,5.867276915035984,28641.89,FALSE
2003,2003-01-01,3. La Rioja,160.394,69.32149695086375,0.5599979610284098,28641.89,FALSE
2004,2004-01-01,1. Resto país,31404.552,61.26585509498743,93.3175425695118,33653.428,FALSE
2004,2004-01-01,2. NOA-Resto,2051.572,64.98522956418503,6.096175402993122,33653.428,FALSE
2004,2004-01-01,3. La Rioja,197.304,85.27381719012693,0.5862820274950891,33653.428,FALSE
2005,2005-01-01,1. Resto país,36123.878,70.47259502434565,92.52160199989125,39043.723,FALSE
2005,2005-01-01,2. NOA-Resto,2744.983,86.94959299736269,7.0305359967849395,39043.723,FALSE
2005,2005-01-01,3. La Rioja,174.862,75.57449530420051,0.44786200332381215,39043.723,FALSE
2006,2006-01-01,1. Resto país,41018.593,80.02149417505672,91.95885285309886,44605.377,FALSE
2006,2006-01-01,2. NOA-Resto,3424.384,108.47017816382862,7.67706548024468,44605.377,FALSE
2006,2006-01-01,3. La Rioja,162.4,70.18848027245578,0.3640816666564661,44605.377,FALSE
2007,2007-01-01,1. Resto país,49445.182,96.46058175124679,92.27107168578395,53586.873,FALSE
2007,2007-01-01,2. NOA-Resto,3977.912,126.00363258327097,7.42329562689728,53586.873,FALSE
2007,2007-01-01,3. La Rioja,163.779,70.78447728166584,0.30563268731877674,53586.873,FALSE
2008,2008-01-01,1. Resto país,61558.407,120.09177660424068,93.54138238959196,65808.742,FALSE
2008,2008-01-01,2. NOA-Resto,4071.465,128.96700076212028,6.186814815575718,65808.742,FALSE
2008,2008-01-01,3. La Rioja,178.87,77.30673316708229,0.271802794832334,65808.742,FALSE
2009,2009-01-01,1. Resto país,49524.618,96.61555019229715,93.06760774450994,53213.593,FALSE
2009,2009-01-01,2. NOA-Resto,3465.987,109.7879873879547,6.513348948265906,53213.593,FALSE
