fecha,la_rioja_region,hogares_NBI_TOT,hogares_NBI_HAC,hogares_NBI_VIV,hogares_NBI_SAN,hogares_NBI_ESC,hogares_NBI_SUB,hogares_base,pct_hogares_NBI_TOT,pct_hogares_NBI_HAC,pct_hogares_NBI_VIV,pct_hogares_NBI_SAN,pct_hogares_NBI_ESC,pct_hogares_NBI_SUB
2011-Q4,2. NOA-Resto,48528,35296,8864,7833,0,0,48528,100,72.7332673920211,18.265743488295417,16.141196834817013,0,0
2011-Q4,3. La Rioja,3937,3710,104,404,0,0,3937,100,94.23418846837693,2.6416052832105663,10.261620523241048,0,0
2012-Q1,1. Resto país,331657,293826,37082,22561,0,0,331657,100,88.59333588617156,11.180828385952958,6.802509821894306,0,0
2012-Q1,2. NOA-Resto,56665,44855,8032,8021,0,0,56665,100,79.15821053560398,14.17453454513368,14.155122209476751,0,0
2012-Q1,3. La Rioja,4323,4130,193,404,0,0,4323,100,95.53550774924821,4.464492250751793,9.345362017117742,0,0
2012-Q2,1. Resto país,306687,264930,33618,21709,0,0,306687,100,86.38448972405091,10.961664498332176,7.078552400329978,0,0
2012-Q2,2. NOA-Resto,59883,42070,15288,8220,0,0,59883,100,70.25366130621379,25.52978307700015,13.726767196032263,0,0
2012-Q2,3. La Rioja,4062,3667,395,254,0,0,4062,100,90.27572624322994,9.724273756770065,6.253077301821763,0,0
2012-Q3,1. Resto país,311677,260012,40764,24359,0,0,311677,100,83.4235442461266,13.078924655973973,7.815462802837553,0,0
2012-Q3,2. NOA-Resto,53154,30929,15861,10050,0,0,53154,100,58.18753057154683,29.839711028332772,18.90732588328254,0,0
2012-Q3,3. La Rioja,2793,2585,208,0,0,0,2793,100,92.55281059792338,7.447189402076621,0,0,0
2012-Q4,1. Resto país,310725,257158,52692,25262,0,0,310725,100,82.76064043768606,16.957760077238714,8.13001850510902,0,0
2012-Q4,2. NOA-Resto,52755,37508,9914,8030,0,0,52755,100,71.09847407828642,18.792531513600608,15.221306037342433,0,0
2012-Q4,3. La Rioja,3748,3640,108,0,0,0,3748,100,97.11846318036285,2.88153681963714,0,0,0
2013-Q1,1. Resto país,295258,255601,26786,21599,0,0,295258,100,86.56869585244091,9.072065786532455,7.315297129967689,0,0
2013-Q1,2. NOA-Resto,49876,35358,7882,8666,0,0,49876,100,70.89181169299864,15.803191915951558,17.375090223754913,0,0
2013-Q1,3. La Rioja,4520,4299,111,110,0,0,4520,100,95.11061946902655,2.4557522123893807,2.433628318584071,0,0
2013-Q2,1. Resto país,325160,250812,68773,25602,0,0,325160,100,77.13494894821011,21.15051051789888,7.8736621970722105,0,0
2013-Q2,2. NOA-Resto,49771,33119,10737,9480,0,0,49771,100,66.54276586767395,21.572803439754075,19.047236342448414,0,0
2013-Q2,3. La Rioja,3916,3498,208,210,0,0,3916,100,89.32584269662921,5.3115423901940755,5.362614913176711,0,0
2013-Q3,1. Resto país,321676,256288,67052,22794,0,0,321676,100,79.67271415958915,20.844576530421914,7.086012012086695,0,0
2013-Q3,2. NOA-Resto,43941,32156,6513,8033,0,0,43941,100,73.17994583646254,14.822147880111968,18.281331785803694,0,0
2013-Q3,3. La Rioja,3310,3029,187,94,0,0,3310,100,91.51057401812689,5.649546827794562,2.8398791540785497,0,0
2013-Q4,1. Resto país,433935,394769,39739,13960,0,0,433935,100,90.97422425017572,9.157823176282163,3.217071681242582,0,0
2013-Q4,2. NOA-Resto,52505,42615,4701,8085,0,0,52505,100,81.16369869536236,8.953433006380344,15.398533473002571,0,0
2013-Q4,3. La Rioja,3540,3412,128,0,0,0,3540,100,96.38418079096044,3.615819209039548,0,0,0
2014-Q1,1. Resto país,301719,273876,32308,12124,0,0,301719,100,90.77187714396509,10.70797662725914,4.018308426052055,0,0
2014-Q1,2. NOA-Resto,41342,33093,3893,7038,0,0,41342,100,80.0469256446229,9.416573944172995,17.023849837937206,0,0
2014-Q1,3. La Rioja,2234,2156,78,0,0,0,2234,100,96.50850492390332,3.491495076096687,0,0,0
2014-Q2,1. Resto país,285888,261581,14911,18143,0,0,285888,100,91.49771938661294,5.215678867248713,6.34619151555854,0,0
2014-Q2,2. NOA-Resto,35592,27683,3797,6217,0,0,35592,100,77.77871431782422,10.668127669139132,17.467408406383456,0,0
2014-Q2,3. La Rioja,2884,2684,96,104,0,0,2884,100,93.06518723994452,3.3287101248266295,3.6061026352288486,0,0
2014-Q3,1. Resto país,281664,258635,11685,18345,0,0,281664,100,91.82394626221313,4.1485599863667355,6.5130794137695975,0,0
2014-Q3,2. NOA-Resto,41556,33063,6928,3574,0,0,41556,100,79.56251804793531,16.671479449417653,8.600442776013091,0,0
2014-Q3,3. La Rioja,3532,3022,285,225,0,0,3532,100,85.56058890147226,8.069082672706681,6.370328425821064,0,0
2014-Q4,1. Resto país,279598,243606,22334,16938,0,0,279598,100,87.12723266976158,7.987896909133828,6.05798324737659,0,0
2014-Q4,2. NOA-Resto,41145,32161,5277,5834,0,0,41145,100,78.16502612711143,12.825373678454246,14.179122615141573,0,0
2014-Q4,3. La Rioja,2961,2622,339,0,0,0,2961,100,88.55116514690982,11.448834853090172,0,0,0
2015-Q1,1. Resto país,288847,267536,13803,11010,0,0,288847,100,92.62204558122467,4.778654443355825,3.8117065436026687,0,0
2015-Q1,2. NOA-Resto,36940,28694,3333,7219,0,0,36940,100,77.6773145641581,9.022739577693557,19.54250135354629,0,0
2015-Q1,3. La Rioja,2149,2053,96,0,0,0,2149,100,95.53280595625873,4.467194043741276,0,0,0
2015-Q2,1. Resto país,257766,240144,10543,15110,0,0,257766,100,93.16356695607644,4.090143773810355,5.8619057594872865,0,0
2015-Q2,2. NOA-Resto,39489,29779,5749,7003,0,0,39489,100,75.41087391425461,14.558484641292512,17.734052520955203,0,0
2015-Q2,3. La Rioja,2112,1902,121,89,0,0,2112,100,90.05681818181817,5.729166666666666,4.214015151515151,0,0
2016-Q2,1. Resto país,388160,224178,33219,24401,20752,99805,8073792,4.807654197680594,2.7766135169199306,0.41144235571092247,0.30222477864180797,0.2570291630004835,1.2361601586961863
2016-Q2,2. NOA-Resto,42727,28604,4480,7002,1303,4612,644334,6.631188172593718,4.439312530457807,0.695291572383267,1.0867034798722401,0.20222431223557968,0.7157778419267027
2016-Q2,3. La Rioja,1859,1738,0,0,0,121,54342,3.4209267233447425,3.198262853777925,0,0,0,0.22266386956681758
