geocodigo,provincia,anio,rec_prov,rec_nac,rec_total,pct_propios,la_rioja_region
AR-M,Mendoza,2012,4555.4800000000005,7059.6266,11615.1066,0.3922030298025849,1. Resto país
AR-N,Misiones,2012,1841.5889,5800.2252,7641.8141,0.24098844540068046,1. Resto país
AR-Q,Neuquén,2012,2596.4086899999998,3075.9274,5672.33609,0.4577318143361283,1. Resto país
AR-R,Río Negro,2012,1468.4197900000001,4281.8855,5750.30529,0.25536379651940183,1. Resto país
AR-A,Salta,2012,1686.36317,6646.233,8332.59617,0.20238148298503225,2. NOA-Resto
AR-J,San Juan,2012,1168.2712999999999,5595.419400000001,6763.690700000001,0.17272689598298746,1. Resto país
AR-D,San Luis,2012,1115.08747,3858.5647000000004,4973.65217,0.22419892503258826,1. Resto país
AR-Z,Santa Cruz,2012,1319.7873200000001,2748.3608,4068.14812,0.32441968214274364,1. Resto país
AR-S,Santa Fe,2012,8208.75024,15100.153400000001,23308.90364,0.35217230148539064,1. Resto país
AR-G,Santiago del Estero,2012,854.76102,6987.7898,7842.5508199999995,0.10899017929475147,2. NOA-Resto
AR-V,Tierra del Fuego,2012,744.02122,2112.6983,2856.71952,0.26044601676541207,1. Resto país
AR-T,Tucumán,2012,3223.4142500000003,8049.0739,11272.488150000001,0.285954104107885,2. NOA-Resto
AR-B,Buenos Aires,2013,67632.40000000001,42348.3972,109980.7972,0.6149473519182675,1. Resto país
AR-C,CABA,2013,40468.42309,4284.222900000001,44752.64599,0.90426883583694,1. Resto país
AR-K,Catamarca,2013,707.09414,5886.897599999999,6593.9917399999995,0.10723309459286647,2. NOA-Resto
AR-H,Chaco,2013,1980.6558699999998,11044.3805,13025.03637,0.15206528517355686,1. Resto país
AR-U,Chubut,2013,2267.2577899999997,3648.9857,5916.24349,0.38322590911483934,1. Resto país
AR-W,Corrientes,2013,1310.916,8435.8017,9746.7177,0.13449820137911658,1. Resto país
AR-X,Córdoba,2013,12646.747000000001,19449.125600000003,32095.872600000002,0.3940303215186616,1. Resto país
AR-E,Entre Ríos,2013,3935.3199999999997,10729.3989,14664.7189,0.2683529106036939,1. Resto país
AR-P,Formosa,2013,617.00195,7968.9783,8585.98025,0.07186156175935764,1. Resto país
AR-Y,Jujuy,2013,951.14,6299.2684,7250.4084,0.13118433438866697,2. NOA-Resto
AR-L,La Pampa,2013,1379.56474607,4077.2758,5456.84054607,0.25281382778603606,1. Resto país
AR-F,La Rioja,2013,408.84499999999997,4487.0369,4895.8819,0.08350793755870621,3. La Rioja
