jurisdiccion,fecha,salario_promedio,ipc_nacional,ipc_regional,ipc_region,salario_real_nac,salario_real_reg,salario_real_nac_ma12,salario_real_reg_ma12
Entre Ríos,2019-06-01,48950.005236164776,225.537,225.5013,Pampeana,21703.758246391844,21707.194253942118,16464.33343448062,16454.820011407694
Formosa,2019-06-01,47632.38629499857,225.537,224.9806,NEA,21119.54415240008,21171.77494192769,16418.614783755733,16609.15840125025
Jujuy,2019-06-01,47859.104519085085,225.537,229.3958,NOA,21220.06789089377,20863.11280288701,16361.681041269194,16282.834133829365
La Pampa,2019-06-01,55830.125048885326,225.537,225.5013,Pampeana,24754.308627358405,24758.227579568425,18767.818293112585,18756.818938513625
La Rioja,2019-06-01,43400.05841456571,225.537,229.3958,NOA,19242.988252289295,18919.290769301664,15147.774800029025,15078.892809958608
Mendoza,2019-06-01,49131.33902472135,225.537,228.5075,Cuyo,21784.159151146527,21500.97437708668,16589.59091261402,16348.035449246547
Misiones,2019-06-01,38981.24487494147,225.537,224.9806,NEA,17283.747178929163,17326.491650809654,14119.745549966445,14284.658937267664
Neuquén,2019-06-01,100622.32198536514,225.537,226.4422,Patagonia,44614.55192955708,44436.205789099884,33476.09714849259,33410.490798249324
Río Negro,2019-06-01,59291.88706811504,225.537,226.4422,Patagonia,26289.206235834932,26184.11544672991,20180.48215266207,20142.334877006695
Salta,2019-06-01,47456.35614579621,225.537,229.3958,NOA,21041.494808300286,20687.543601842848,15947.98379603497,15870.949355054086
San Juan,2019-06-01,48458.95036226843,225.537,228.5075,Cuyo,21486.031277470407,21206.7220385626,16743.818920775557,16498.956116098674
San Luis,2019-06-01,55810.461896542256,225.537,228.5075,Cuyo,24745.590256384654,24423.908141545577,19146.641616158107,18866.97152220998
Santa Cruz,2019-06-01,116135.97857160772,225.537,226.4422,Patagonia,51493.09362614901,51287.25059710943,40101.95672586568,40031.260923135924
Santa Fe,2019-06-01,56453.106260426146,225.537,225.5013,Pampeana,25030.52991767477,25034.492599566453,19303.148803760207,19291.688674317076
Santiago del Estero,2019-06-01,39795.90622628179,225.537,229.3958,NOA,17644.956803664936,17348.140735916608,13665.97841149829,13601.07015318613
Tierra del Fuego,2019-06-01,88412.83208061392,225.537,226.4422,Patagonia,39201.03223888494,39044.3265789742,30850.830205094462,30787.551227154894
Tucumán,2019-06-01,40722.50482276922,225.537,229.3958,NOA,18055.79786144589,17752.07079762106,14923.361919288587,14855.744663363139
Buenos Aires,2019-07-01,43988.42528377936,230.494,229.4286,GBA,19084.412298705978,19173.03478458194,20452.200513798438,20497.0979211946
C.A.B.A.,2019-07-01,52803.58519778383,230.494,229.4286,GBA,22908.876238767094,23015.258428018056,24943.892074878033,24998.692380406
Catamarca,2019-07-01,32478.829595030573,230.494,233.932,NOA,14090.965315813242,13883.876338008728,15356.884421364062,15273.285457578912
Chaco,2019-07-01,32408.61798435759,230.494,229.1739,NEA,14060.503954271082,14141.496036135697,15302.336883692216,15462.098944795436
Chubut,2019-07-01,74972.80594325355,230.494,232.2018,Patagonia,32527.009789084987,32287.779829119994,33868.50557811348,33772.204248478825
Corrientes,2019-07-01,31938.837588833987,230.494,229.1739,NEA,13856.689366679388,13936.507424638663,15095.450309092885,15251.94146351496
Córdoba,2019-07-01,38624.058730714256,230.494,230.5038,Pampeana,16757.077724675808,16756.365287997098,18081.38107369144,18073.628299423694
Entre Ríos,2019-07-01,35643.982263558064,230.494,230.5038,Pampeana,15464.169246730095,15463.51177878979,16402.53461899277,16395.927765257915
Formosa,2019-07-01,35334.21284982319,230.494,229.1739,NEA,15329.77554722604,15418.078956557963,16350.576359446302,16521.309212798922
Jujuy,2019-07-01,35729.066872602045,230.494,233.932,NOA,15501.083270107702,15273.270383103656,16294.737181583561,16202.43469275767
La Pampa,2019-07-01,39757.53215173554,230.494,230.5038,Pampeana,17248.83604420746,17248.10270014444,18720.42281989869,18712.6182487467
La Rioja,2019-07-01,33691.89310110709,230.494,233.932,NOA,14617.253855244428,14402.43023661025,15059.587953606899,14978.119556566166
Mendoza,2019-07-01,36758.91290344852,230.494,234.9103,Cuyo,15947.882766340348,15648.063496342442,16554.823405121002,16303.22332513933
Misiones,2019-07-01,29174.28422817651,230.494,229.1739,NEA,12657.28575502031,12730.194942869372,14035.83636409242,14183.832682054592
Neuquén,2019-07-01,74894.1167249406,230.494,232.2018,Patagonia,32492.87041091768,32253.891539574885,33498.78044614171,33404.041061910175
Río Negro,2019-07-01,43909.36857481498,230.494,232.2018,Patagonia,19050.113484435595,18910.003529178062,20109.820097127234,20054.304284574962
Salta,2019-07-01,35004.330584370495,230.494,233.932,NOA,15186.655871463248,14963.463991403696,15916.629711531154,15826.273328806112
San Juan,2019-07-01,36086.63900764855,230.494,234.9103,Cuyo,15656.216217189405,15361.880261380004,16695.638133075397,16441.068327016597
San Luis,2019-07-01,41112.120959867934,230.494,234.9103,Cuyo,17836.52544529052,17501.199802591855,19055.493960146803,18765.162258984674
Santa Cruz,2019-07-01,91571.37625088576,230.494,232.2018,Patagonia,39728.31234257107,39436.11817431465,40098.516608668055,39992.09346526559
Santa Fe,2019-07-01,41064.83977947144,230.494,230.5038,Pampeana,17816.01246864189,17815.25501075099,19227.37189767006,19219.27042052828
Santiago del Estero,2019-07-01,29281.478437667192,230.494,233.932,NOA,12703.792045635546,12517.089768679443,13596.969170564733,13521.091057934798
Tierra del Fuego,2019-07-01,63743.425263304576,230.494,232.2018,Patagonia,27655.134304278887,27451.73606031675,30578.7751271592,30489.70033970978
Tucumán,2019-07-01,30992.527800113017,230.494,233.932,NOA,13446.132133640362,13248.519997312473,14872.70998097298,14793.390743788505
Buenos Aires,2019-08-01,45841.19350998995,239.6077,238.3069,GBA,19131.76976782881,19236.200676518365,20389.672318072055,20444.033590623287
C.A.B.A.,2019-08-01,53813.73642672274,239.6077,238.3069,GBA,22459.101450714123,22581.694624336407,24857.417552098745,24923.33365188635
Catamarca,2019-08-01,34032.00422528961,239.6077,243.6348,NOA,14203.218104130048,13968.449591474457,15291.987022399315,15194.931704727158
Chaco,2019-08-01,33436.66694344561,239.6077,239.3993,NEA,13954.754769335716,13966.902552950494,15223.445457022515,15360.314177184388
Chubut,2019-08-01,76583.81982884732,239.6077,242.0023,Patagonia,31962.16975867108,31645.905773972943,33827.14074040263,33688.81892910015
Corrientes,2019-08-01,33303.83462734713,239.6077,239.3993,NEA,13899.31735388601,13911.416878556925,15036.340671158141,15170.404217789146
Córdoba,2019-08-01,39516.30053786958,239.6077,239.3972,Pampeana,16492.08290796564,16506.58426158267,17988.197439876047,17982.724326729374
Entre Ríos,2019-08-01,36447.01886790139,239.6077,239.3972,Pampeana,15211.12170765021,15224.496722560409,16346.499787289546,16341.973696945202
Formosa,2019-08-01,35685.34124110867,239.6077,239.3993,NEA,14893.236419826519,14906.201163123145,16268.08806727229,16414.42085707644
Jujuy,2019-08-01,36323.001300145945,239.6077,243.6348,NOA,15159.36311735639,14908.790246773427,16182.548198218017,16076.093467831583
La Pampa,2019-08-01,41534.77620844602,239.6077,239.3972,Pampeana,17334.491424293134,17349.733500828755,18696.648741681944,18691.18613606165
La Rioja,2019-08-01,34471.21846929879,239.6077,243.6348,NOA,14386.523667352421,14148.725251605594,14991.072438389117,14895.987623416713
Mendoza,2019-08-01,37126.41453596073,239.6077,245.1846,Cuyo,15494.666713949815,15142.22937980637,16496.17431580976,16223.669574719917
Misiones,2019-08-01,30208.98528518866,239.6077,239.3993,NEA,12607.685514776304,12618.660658234447,13954.920362318317,14082.04768026427
Neuquén,2019-08-01,74934.6259666023,239.6077,242.0023,Patagonia,31273.880583387887,30964.42718379218,33429.51927592641,33293.49758102879
Río Negro,2019-08-01,45558.713459511986,239.6077,242.0023,Patagonia,19013.877041310436,18825.73573040917,20037.64704417617,19956.85832258066
Salta,2019-08-01,35768.373551588746,239.6077,243.6348,NOA,14927.889859795301,14681.143068062833,15882.144927136942,15777.480647383007
San Juan,2019-08-01,36784.798406321635,239.6077,245.1846,Cuyo,15352.093612317816,15002.899205872489,16624.518053381475,16349.317529475557
San Luis,2019-08-01,41979.511726012395,239.6077,245.1846,Cuyo,17520.10128473016,17121.593985108524,18977.40999107619,18663.51480977539
Santa Cruz,2019-08-01,96824.86555521516,239.6077,242.0023,Patagonia,40409.74708042152,40009.89476348579,40126.42263228701,39967.33751989829
Santa Fe,2019-08-01,42117.3734233577,239.6077,239.3972,Pampeana,17577.63770670045,17593.093579773573,19161.83095443877,19156.13453714376
Santiago del Estero,2019-08-01,30044.777724605756,239.6077,243.6348,NOA,12539.15367686671,12331.890897608124,13518.204784749254,13430.551913166903
Tierra del Fuego,2019-08-01,64813.289828862144,239.6077,242.0023,Patagonia,27049.752503305255,26782.096628363506,30270.113332463698,30143.891535963252
Tucumán,2019-08-01,31358.32202528679,239.6077,243.6348,NOA,13087.359890891148,12871.03567523473,14792.80574544052,14701.185692355348
