jurisdiccion,fecha,salario_promedio,ipc_nacional,ipc_regional,ipc_region,salario_real_nac,salario_real_reg,salario_real_nac_ma12,salario_real_reg_ma12
Buenos Aires,2019-09-01,47579.92270006253,253.7102,252.1482,GBA,18753.649912404995,18869.82445246983,20354.390515057512,20420.86648125843
C.A.B.A.,2019-09-01,56224.19907426153,253.7102,252.1482,GBA,22160.795692984175,22298.07671609852,24796.107451900945,24876.369105454705
Catamarca,2019-09-01,34634.96641489103,253.7102,257.8353,NOA,13651.389031616005,13432.980827253301,15227.181059377886,15111.483188178183
Chaco,2019-09-01,34554.78824913145,253.7102,254.215,NEA,13619.786768183327,13592.74167501188,15167.840828851085,15288.32404288054
Chubut,2019-09-01,76120.17133644265,253.7102,254.7349,Patagonia,30002.802936753294,29882.113262235624,33685.06867225099,33522.12824477425
Corrientes,2019-09-01,33985.440343171504,253.7102,254.215,NEA,13395.378011278817,13368.77853123203,14987.211729743241,15105.225737786457
Córdoba,2019-09-01,40246.87823649246,253.7102,253.889,Pampeana,15863.326833723067,15852.155168791267,17921.247688628475,17913.37109928325
Entre Ríos,2019-09-01,36463.28975714388,253.7102,253.889,Pampeana,14372.023575380052,14361.902152966013,16292.082052412557,16285.385049074388
Formosa,2019-09-01,36393.52949397428,253.7102,254.215,NEA,14344.52753337244,14316.043307426502,16201.61527952587,16330.59677198935
Jujuy,2019-09-01,37957.03497476581,253.7102,257.8353,NOA,14960.783986913342,14721.426808030477,16142.288680154705,16015.414570379255
La Pampa,2019-09-01,42850.25459140318,253.7102,253.889,Pampeana,16889.448903277513,16877.554597246504,18663.855663296985,18655.87491644069
La Rioja,2019-09-01,35879.6025886658,253.7102,257.8353,NOA,14141.962991107888,13915.706107218755,14958.890585435644,14844.506125979797
Mendoza,2019-09-01,38039.93172103411,253.7102,259.466,Cuyo,14993.45778018941,14660.854108451247,16463.71144180885,16175.158396826255
Misiones,2019-09-01,31608.88623451445,253.7102,254.215,NEA,12458.658041542853,12433.91862577521,13901.062515789288,14013.16570868732
Neuquén,2019-09-01,78439.74310753215,253.7102,254.7349,Patagonia,30917.063290136604,30792.695899749953,33405.97354449259,33245.260072008816
Río Negro,2019-09-01,47024.8904714326,253.7102,254.7349,Patagonia,18534.883686754652,18460.32501688328,19991.131120786784,19895.361045288617
Salta,2019-09-01,36791.85779482708,253.7102,257.8353,NOA,14501.528828887087,14269.51926087199,15877.06377502181,15752.61940829236
San Juan,2019-09-01,37687.526418554145,253.7102,259.466,Cuyo,14854.5570570494,14525.034655235808,16584.765221216825,16293.73416072661
San Luis,2019-09-01,43106.32108888103,253.7102,259.466,Cuyo,16990.377639086262,16613.475788304066,18944.380417332464,18612.26532421269
Santa Cruz,2019-09-01,91255.2148118287,253.7102,254.7349,Patagonia,35968.287759746636,35823.60124656209,39693.10602381482,39503.058041078315
Santa Fe,2019-09-01,43126.26911057245,253.7102,253.889,Pampeana,16998.240161638143,16986.26923993259,19115.663476339243,19107.418741937472
Santiago del Estero,2019-09-01,30509.40849286644,253.7102,257.8353,NOA,12025.298349402761,11832.90592594049,13461.174080698343,13357.099291363867
Tierra del Fuego,2019-09-01,64846.72663727811,253.7102,254.7349,Patagonia,25559.369168948713,25456.553710260396,30032.643706277107,29884.807659859125
Tucumán,2019-09-01,32384.1879442591,253.7102,257.8353,NOA,12764.24359141221,12560.02880298357,14724.878000409299,14615.824198845403
Buenos Aires,2019-10-01,50177.32354894574,262.0661,260.2101,GBA,19146.819656928437,19283.388134797893,20352.80713731029,20427.977620816357
C.A.B.A.,2019-10-01,60282.71253038982,262.0661,260.2101,GBA,23002.86551003347,23166.937997560362,24838.496504457646,24929.278186851654
