fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2010-Q1,2. NOA-Resto,300417,245449,21435,54130,0,0,300417,100,81.70276648791514,7.135082235692387,18.018287913134078,0,0
2010-Q1,3. La Rioja,20439,20139,0,504,0,0,20439,100,98.53221781887568,0,2.4658740642888595,0,0
2010-Q2,1. Resto país,1813273,1654351,87811,157415,0,0,1813273,100,91.23562750892998,4.842679508270404,8.68126310820268,0,0
2010-Q2,2. NOA-Resto,313998,270983,20497,35517,0,0,313998,100,86.30086815839591,6.527748584385888,11.311218542793267,0,0
2010-Q2,3. La Rioja,17264,16955,162,791,0,0,17264,100,98.21014828544949,0.9383688600556072,4.5817886932344765,0,0
2010-Q3,1. Resto país,1648564,1500336,98634,122915,0,0,1648564,100,91.00865965773849,5.9830252268034485,7.455882816802988,0,0
2010-Q3,2. NOA-Resto,316163,277069,23508,46357,0,0,316163,100,87.63485923400272,7.4354051549359035,14.662373522518449,0,0
2010-Q3,3. La Rioja,15408,14417,130,2618,0,0,15408,100,93.56827622014538,0.843717549325026,16.99117341640706,0,0
2010-Q4,1. Resto país,1559526,1392190,150798,124985,0,0,1559526,100,89.27007308630955,9.669476494781106,8.01429408679304,0,0
2010-Q4,2. NOA-Resto,296054,243490,35496,51808,0,0,296054,100,82.24513095583914,11.989704580921048,17.499510224486073,0,0
2010-Q4,3. La Rioja,26927,26543,0,1853,0,0,26927,100,98.57392208563896,0,6.881568685705797,0,0
2011-Q1,1. Resto país,1665634,1499848,129485,174641,0,0,1665634,100,90.04667291854032,7.773916718798968,10.48495647903441,0,0
2011-Q1,2. NOA-Resto,292432,251370,27338,37551,0,0,292432,100,85.95844504021449,9.348498112381682,12.840933960715653,0,0
2011-Q1,3. La Rioja,24105,23637,468,1069,0,0,24105,100,98.05849408836342,1.9415059116365898,4.43476457166563,0,0
2011-Q2,1. Resto país,1594807,1441035,107857,129909,0,0,1594807,100,90.35795553944772,6.763012703104514,8.145750551634148,0,0
2011-Q2,2. NOA-Resto,300432,267854,23936,32321,0,0,300432,100,89.15628162113224,7.9671939074399525,10.75817489481813,0,0
2011-Q2,3. La Rioja,20277,18991,277,2139,0,0,20277,100,93.6578389308083,1.366079794841446,10.548897765941707,0,0
2011-Q3,1. Resto país,1603145,1471978,85423,103092,0,0,1603145,100,91.81814495881532,5.328463738464081,6.430609832547899,0,0
2011-Q3,2. NOA-Resto,281481,243298,24736,37927,0,0,281481,100,86.43496363875359,8.787804505455075,13.474088837257222,0,0
2011-Q3,3. La Rioja,17639,16156,217,1266,0,0,17639,100,91.5924939055502,1.2302284710017575,7.177277623448042,0,0
2011-Q4,1. Resto país,1475416,1336797,119800,109149,0,0,1475416,100,90.60475147348274,8.119743855292338,7.397845760111046,0,0
2011-Q4,2. NOA-Resto,268651,231046,19765,38736,0,0,268651,100,86.00228549307467,7.3571287655731785,14.418706798039091,0,0
2011-Q4,3. La Rioja,22443,22216,104,1395,0,0,22443,100,98.98854876799001,0.46339615915875776,6.215746557946798,0,0
2012-Q1,1. Resto país,1686428,1598809,115819,82055,0,0,1686428,100,94.80446244962725,6.867710925103236,4.865609441968468,0,0
2012-Q1,2. NOA-Resto,306711,268369,23008,38478,0,0,306711,100,87.49898112555468,7.501524236170205,12.545360290305856,0,0
2012-Q1,3. La Rioja,25214,25021,193,1900,0,0,25214,100,99.2345522328865,0.7654477671135084,7.535496152930911,0,0
2012-Q2,1. Resto país,1611047,1493315,116611,64422,0,0,1611047,100,92.69220575191164,7.23821216885665,3.998766019861618,0,0
2012-Q2,2. NOA-Resto,288830,247002,33461,38185,0,0,288830,100,85.51812484852681,11.585015406986809,13.22057957968355,0,0
2012-Q2,3. La Rioja,26561,26166,395,1270,0,0,26561,100,98.51285719664169,1.4871428033583074,4.7814464816836715,0,0
2012-Q3,1. Resto país,1609435,1464826,131384,70086,0,0,1609435,100,91.01492138545514,8.163361676613222,4.354695902599359,0,0
2012-Q3,2. NOA-Resto,252311,194668,32886,46886,0,0,252311,100,77.15398853002841,13.03391449441364,18.582622240013315,0,0
2012-Q3,3. La Rioja,19512,19104,408,0,0,0,19512,100,97.90897908979089,2.091020910209102,0,0,0
2012-Q4,1. Resto país,1569649,1446233,175561,84135,0,0,1569649,100,92.13735045223487,11.184729834504402,5.360115541754876,0,0
2012-Q4,2. NOA-Resto,275081,231822,22940,38019,0,0,275081,100,84.27408654178224,8.339361860688307,13.821019990475532,0,0
2012-Q4,3. La Rioja,21071,20747,324,0,0,0,21071,100,98.46234160694793,1.5376583930520622,0,0,0
2013-Q1,1. Resto país,1545643,1442928,87970,70249,0,0,1545643,100,93.35454564863943,5.691482444523088,4.544969310507019,0,0
2013-Q1,2. NOA-Resto,271343,228206,17801,38062,0,0,271343,100,84.10240912793033,6.56033138868517,14.027264384929774,0,0
2013-Q1,3. La Rioja,27341,27120,111,110,0,0,27341,100,99.19169013569365,0.405983687502286,0.4023261768040671,0,0
2013-Q2,1. Resto país,1573029,1358798,215268,88512,0,0,1573029,100,86.38098852595851,13.684935242770477,5.62685112607587,0,0
2013-Q2,2. NOA-Resto,250471,209928,18394,41187,0,0,250471,100,83.81329575080548,7.343764347968428,16.443819843415007,0,0
2013-Q2,3. La Rioja,24861,23831,208,822,0,0,24861,100,95.85696472386469,0.8366517839185874,3.3063834922167255,0,0
2013-Q3,1. Resto país,1583032,1393609,195487,100464,0,0,1583032,100,88.03416481789377,12.34889755860905,6.346302538419943,0,0
2013-Q3,2. NOA-Resto,230023,200896,15504,30755,0,0,230023,100,87.33735322119962,6.740195545662825,13.370402090225761,0,0
2013-Q3,3. La Rioja,20667,19721,288,658,0,0,20667,100,95.42265447331495,1.3935259108724052,3.183819615812648,0,0
2013-Q4,1. Resto país,2018002,1919225,117730,68169,0,0,2018002,100,95.10520802258868,5.833988271567621,3.378044223940313,0,0
2013-Q4,2. NOA-Resto,271289,243945,11126,34585,0,0,271289,100,89.92071186078316,4.101161491988249,12.748397465433541,0,0
2013-Q4,3. La Rioja,18481,18225,256,0,0,0,18481,100,98.61479357177642,1.385206428223581,0,0,0
2014-Q1,1. Resto país,1626546,1566353,138492,47658,0,0,1626546,100,96.29933613927918,8.514484066236061,2.930012431250023,0,0
2014-Q1,2. NOA-Resto,232143,207265,6366,35521,0,0,232143,100,89.28332967179713,2.742275235522932,15.30134442994189,0,0
2014-Q1,3. La Rioja,10817,10739,78,0,0,0,10817,100,99.27891282240917,0.7210871775908292,0,0,0
2014-Q2,1. Resto país,1605299,1544400,39039,72370,0,0,1605299,100,96.20637650680652,2.431883406144276,4.508194423593362,0,0
2014-Q2,2. NOA-Resto,194815,171254,7178,28927,0,0,194815,100,87.90596206657598,3.6845212124323075,14.848445961553269,0,0
2014-Q2,3. La Rioja,14056,13760,192,104,0,0,14056,100,97.89413773477519,1.3659647125782584,0.7398975526465565,0,0
2014-Q3,1. Resto país,1551115,1480492,32115,80458,0,0,1551115,100,95.44695267597825,2.070446098451759,5.187107338914265,0,0
2014-Q3,2. NOA-Resto,212170,195962,13473,13015,0,0,212170,100,92.36084272046001,6.350096620634398,6.134231983786586,0,0
2014-Q3,3. La Rioja,17576,16225,1026,325,0,0,17576,100,92.31338188438781,5.8375056895766955,1.849112426035503,0,0
2014-Q4,1. Resto país,1540171,1443909,46550,68237,0,0,1540171,100,93.74991478218976,3.022391669496439,4.430482069848089,0,0
2014-Q4,2. NOA-Resto,235430,209734,8965,28150,0,0,235430,100,89.08550312194707,3.8079259227795945,11.956844922057511,0,0
2014-Q4,3. La Rioja,17892,17008,884,0,0,0,17892,100,95.059244355019,4.940755644980997,0,0,0
2015-Q1,1. Resto país,1590319,1532198,41995,38038,0,0,1590319,100,96.34532442862093,2.640665174722807,2.391847170284704,0,0
2015-Q1,2. NOA-Resto,219671,190778,7951,36885,0,0,219671,100,86.84714869054176,3.619503712369862,16.791019297039664,0,0
2015-Q1,3. La Rioja,12011,11723,288,0,0,0,12011,100,97.60219798518025,2.3978020148197485,0,0,0
2015-Q2,1. Resto país,1410123,1366701,27934,63526,0,0,1410123,100,96.92069415221225,1.9809619444544908,4.504997081814849,0,0
2015-Q2,2. NOA-Resto,224228,196586,12733,32636,0,0,224228,100,87.67236919564016,5.678595001516314,14.554828121376456,0,0
2015-Q2,3. La Rioja,12728,11945,605,178,0,0,12728,100,93.84820867379007,4.753299811439346,1.3984915147705845,0,0
2016-Q2,1. Resto país,1688519,1252605,89526,66235,108265,259562,24595514,6.865150287162122,5.092818958774352,0.3639932062407803,0.26929707588139856,0.4401818965848813,1.0553225275145703
2016-Q2,2. NOA-Resto,227267,185637,11220,30660,5148,12551,2403859,9.45425667645232,7.722457931184816,0.4667495056906416,1.2754491839995608,0.21415565555217672,0.5221188097970804
2016-Q2,3. La Rioja,10210,9968,0,0,0,242,201357,5.070596006098621,4.9504114582557355,0,0,0,0.12018454784288601
2016-Q3,1. Resto país,1683101,1201868,59571,56615,182400,276246,24660532,6.825079848236851,4.873649927746896,0.2415641317064855,0.22957736678186827,0.7396434107747554,1.120194811693438
2016-Q3,2. NOA-Resto,214136,166381,12028,21642,6575,19445,2409690,8.886454274201245,6.904664085421776,0.4991513431188244,0.898123825056335,0.27285667450999923,0.8069502716117011
2016-Q3,3. La Rioja,13367,12211,0,0,0,1156,202181,6.611402654057503,6.039637750332623,0,0,0,0.5717649037248802
2016-Q4,1. Resto país,1926282,1394605,55107,49095,201310,297007,24725860,7.790556122213747,5.640268933011835,0.22287192437391462,0.19855729992809146,0.8141678388537346,1.201199877375347
2016-Q4,2. NOA-Resto,220432,151605,9614,22882,13411,31725,2415832,9.124475543001335,6.27547776501015,0.3979581361617861,0.9471685117177022,0.5551296613340663,1.313212177005686
2016-Q4,3. La Rioja,16770,16034,97,0,0,639,203138,8.255471649814412,7.893156376453446,0.04775079010327954,0,0,0.3145644832576869
2017-Q1,1. Resto país,1806702,1421294,89170,61056,66499,236134,24790882,7.287768139915313,5.733132044273375,0.35968869522270325,0.24628409751617553,0.26823975040500775,0.9525034244445195
2017-Q1,2. NOA-Resto,227619,154177,6358,42043,11071,23379,2421606,9.399505947705778,6.366725222847978,0.2625530329871994,1.7361618694370595,0.45717594026443603,0.9654336832663942
2017-Q1,3. La Rioja,19243,17191,481,0,0,1571,204009,9.432427000769573,8.426589023033298,0.23577391193525776,0,0,0.7700640658010186
2017-Q2,1. Resto país,1725831,1327383,74633,74459,81584,231762,24854622,6.943702463067031,5.340588161026951,0.3002781534959574,0.29957808249910217,0.3282447828013639,0.9324704274319682
2017-Q2,2. NOA-Resto,219150,155735,10063,37703,9255,32831,2426815,9.0303546005773,6.417258835139885,0.4146587193502595,1.5536000890055484,0.38136405123587913,1.3528431297812151
2017-Q2,3. La Rioja,12525,12417,0,0,0,108,205012,6.109398474235655,6.056718631104521,0,0,0,0.05267984313113379
