anio,geocodigo,provincia,vab_millones_2004,la_rioja_region
2017,AR-T,Tucumán,11837.782241179873,2. NOA-Resto
2018,AR-B,Buenos Aires,189705.06828057024,1. Resto país
2018,AR-C,CABA,123960.27416433956,1. Resto país
2018,AR-K,Catamarca,3624.651487861098,2. NOA-Resto
2018,AR-H,Chaco,9671.312887731961,1. Resto país
2018,AR-U,Chubut,12044.51098188139,1. Resto país
2018,AR-W,Corrientes,7884.82674201752,1. Resto país
2018,AR-X,Córdoba,49072.85101576058,1. Resto país
2018,AR-E,Entre Ríos,15820.86506016777,1. Resto país
2018,AR-P,Formosa,3680.8827842552228,1. Resto país
2018,AR-Y,Jujuy,5667.701731514498,2. NOA-Resto
2018,AR-L,La Pampa,5917.229578113439,1. Resto país
2018,AR-F,La Rioja,3375.698059510104,3. La Rioja
2018,AR-M,Mendoza,20986.928019708677,1. Resto país
2018,AR-N,Misiones,7440.846024725171,1. Resto país
2018,AR-Q,Neuquén,14457.803347549263,1. Resto país
2018,AR-R,Río Negro,8683.942116688722,1. Resto país
2018,AR-A,Salta,10714.783613415308,2. NOA-Resto
2018,AR-J,San Juan,7593.670017113161,1. Resto país
2018,AR-D,San Luis,5969.8311310489635,1. Resto país
2018,AR-Z,Santa Cruz,9158.60931168346,1. Resto país
2018,AR-S,Santa Fe,45184.225247291026,1. Resto país
2018,AR-G,Santiago del Estero,10062.553120914463,2. NOA-Resto
2018,AR-V,Tierra del Fuego,5614.21294455139,1. Resto país
2018,AR-T,Tucumán,11962.311705800814,2. NOA-Resto
2019,AR-B,Buenos Aires,184883.6551682327,1. Resto país
2019,AR-C,CABA,118127.08174770726,1. Resto país
2019,AR-K,Catamarca,3277.5584440535877,2. NOA-Resto
2019,AR-H,Chaco,9144.803921101595,1. Resto país
2019,AR-U,Chubut,12183.356594889361,1. Resto país
2019,AR-W,Corrientes,7604.429120971796,1. Resto país
2019,AR-X,Córdoba,50229.88011390725,1. Resto país
2019,AR-E,Entre Ríos,16066.89715236685,1. Resto país
2019,AR-P,Formosa,3469.3401976060727,1. Resto país
2019,AR-Y,Jujuy,5744.505681767608,2. NOA-Resto
2019,AR-L,La Pampa,6057.460367764089,1. Resto país
2019,AR-F,La Rioja,3291.659809459429,3. La Rioja
2019,AR-M,Mendoza,20689.43769646239,1. Resto país
2019,AR-N,Misiones,7277.645729364753,1. Resto país
2019,AR-Q,Neuquén,15789.967543141354,1. Resto país
2019,AR-R,Río Negro,8544.777447976408,1. Resto país
2019,AR-A,Salta,10851.63870189922,2. NOA-Resto
2019,AR-J,San Juan,7364.097261300928,1. Resto país
2019,AR-D,San Luis,5822.852628040145,1. Resto país
2019,AR-Z,Santa Cruz,8957.75514038311,1. Resto país
2019,AR-S,Santa Fe,45670.52960065444,1. Resto país
2019,AR-G,Santiago del Estero,10578.344218696053,2. NOA-Resto
2019,AR-V,Tierra del Fuego,5084.145013493656,1. Resto país
2019,AR-T,Tucumán,12060.755145201036,2. NOA-Resto
2020,AR-B,Buenos Aires,168105.9614360447,1. Resto país
2020,AR-C,CABA,103866.38057701518,1. Resto país
2020,AR-K,Catamarca,2953.1807741783996,2. NOA-Resto
2020,AR-H,Chaco,8583.459784442302,1. Resto país
2020,AR-U,Chubut,10929.786902813848,1. Resto país
2020,AR-W,Corrientes,6947.545363509104,1. Resto país
2020,AR-X,Córdoba,44697.1550852112,1. Resto país
2020,AR-E,Entre Ríos,14987.102614707153,1. Resto país
2020,AR-P,Formosa,3243.8507166855125,1. Resto país
2020,AR-Y,Jujuy,5238.660860714083,2. NOA-Resto
2020,AR-L,La Pampa,5441.994118819733,1. Resto país
2020,AR-F,La Rioja,2908.4542255778533,3. La Rioja
2020,AR-M,Mendoza,18038.465493179363,1. Resto país
2020,AR-N,Misiones,6961.487939208577,1. Resto país
2020,AR-Q,Neuquén,14601.074661285618,1. Resto país
2020,AR-R,Río Negro,7745.820825642553,1. Resto país
2020,AR-A,Salta,10042.548678894973,2. NOA-Resto
2020,AR-J,San Juan,6621.406266726822,1. Resto país
2020,AR-D,San Luis,5078.40862076322,1. Resto país
2020,AR-Z,Santa Cruz,7753.635760594645,1. Resto país
2020,AR-S,Santa Fe,41500.98191088346,1. Resto país
2020,AR-G,Santiago del Estero,9555.207463339595,2. NOA-Resto
2020,AR-V,Tierra del Fuego,4758.0370300595505,1. Resto país
2020,AR-T,Tucumán,10888.865688914026,2. NOA-Resto
2021,AR-B,Buenos Aires,186413.4519339409,1. Resto país
2021,AR-C,CABA,113287.49564844574,1. Resto país
2021,AR-K,Catamarca,3437.130202566072,2. NOA-Resto
2021,AR-H,Chaco,9152.0870801857891,1. Resto país
2021,AR-U,Chubut,11358.586046406142,1. Resto país
2021,AR-W,Corrientes,7580.6236657993995,1. Resto país
2021,AR-X,Córdoba,50123.28619812802,1. Resto país
2021,AR-E,Entre Ríos,15986.064688755529,1. Resto país
2021,AR-P,Formosa,3601.5118450205746,1. Resto país
2021,AR-Y,Jujuy,6008.227769716892,2. NOA-Resto
2021,AR-L,La Pampa,5878.049233279259,1. Resto país
2021,AR-F,La Rioja,3214.73362621082,3. La Rioja
2021,AR-M,Mendoza,19098.095755221173,1. Resto país
2021,AR-N,Misiones,7816.568398460395,1. Resto país
2021,AR-Q,Neuquén,17382.7697710604,1. Resto país
2021,AR-R,Río Negro,8243.23301654365,1. Resto país
2021,AR-A,Salta,10766.816247820154,2. NOA-Resto
2021,AR-J,San Juan,7385.926471901544,1. Resto país
2021,AR-D,San Luis,5975.812584570853,1. Resto país
2021,AR-Z,Santa Cruz,8235.527080450069,1. Resto país
2021,AR-S,Santa Fe,47464.55821944236,1. Resto país
2021,AR-G,Santiago del Estero,10272.44900706639,2. NOA-Resto
2021,AR-V,Tierra del Fuego,5446.5484610658295,1. Resto país
2021,AR-T,Tucumán,11851.321977444388,2. NOA-Resto
2022,AR-B,Buenos Aires,196508.68941625726,1. Resto país
2022,AR-C,CABA,119005.56797202493,1. Resto país
2022,AR-K,Catamarca,3822.779757561829,2. NOA-Resto
2022,AR-H,Chaco,9739.434550716347,1. Resto país
2022,AR-U,Chubut,11501.756196532686,1. Resto país
2022,AR-W,Corrientes,7697.056281381381,1. Resto país
2022,AR-X,Córdoba,51702.632769341166,1. Resto país
2022,AR-E,Entre Ríos,16833.723987550366,1. Resto país
2022,AR-P,Formosa,3605.8031199166335,1. Resto país
2022,AR-Y,Jujuy,6528.855601065837,2. NOA-Resto
2022,AR-L,La Pampa,6448.564536034806,1. Resto país
2022,AR-F,La Rioja,3480.57589530622,3. La Rioja
2022,AR-M,Mendoza,19870.1112119676,1. Resto país
2022,AR-N,Misiones,8042.8370776442625,1. Resto país
2022,AR-Q,Neuquén,20644.76950003068,1. Resto país
2022,AR-R,Río Negro,8519.552117280595,1. Resto país
2022,AR-A,Salta,11115.293091854894,2. NOA-Resto
2022,AR-J,San Juan,7867.462874402561,1. Resto país
2022,AR-D,San Luis,6238.592350487654,1. Resto país
2022,AR-Z,Santa Cruz,8355.637817690827,1. Resto país
2022,AR-S,Santa Fe,48267.79001938353,1. Resto país
2022,AR-G,Santiago del Estero,10959.116010394333,2. NOA-Resto
