tipo,serie,ANO4,TRIMESTRE,rama,empleados_publicos,empleados_publicos_tot,share,n_obs
agregado,3. La Rioja,2024,3,Servicios de seguridad / edificios,1338,74983,0.017844044650120693,10
agregado,3. La Rioja,2024,3,Otros,7503,74983,0.10006268087433151,47
agregado,3. La Rioja,2024,3,Sin clasificar / NsNr,1673,74983,0.02231172399077124,11
agregado,1. Resto país,2025,3,Adm. pública y defensa,1215887,2771856,0.4386544611264077,2054
agregado,1. Resto país,2025,3,Enseñanza,848640,2771856,0.3061630907233276,1526
agregado,1. Resto país,2025,3,Salud y asistencia social,376230,2771856,0.13573215924636778,600
agregado,1. Resto país,2025,3,"Electricidad, gas y agua",25520,2771856,0.009206827483101575,45
agregado,1. Resto país,2025,3,Transporte,70428,2771856,0.02540824631582593,80
agregado,1. Resto país,2025,3,Finanzas y seguros,25858,2771856,0.009328767439578391,35
agregado,1. Resto país,2025,3,Construcción,26327,2771856,0.009497968148417522,61
agregado,1. Resto país,2025,3,Servicios de seguridad / edificios,23805,2771856,0.008588108473167438,41
agregado,1. Resto país,2025,3,Otros,149643,2771856,0.053986570730947064,259
agregado,1. Resto país,2025,3,Sin clasificar / NsNr,9518,2771856,0.003433800312858965,7
agregado,2. NOA-Resto,2025,3,Adm. pública y defensa,171644,371116,0.46250767953955096,726
agregado,2. NOA-Resto,2025,3,Enseñanza,110711,371116,0.2983191239396846,476
agregado,2. NOA-Resto,2025,3,Salud y asistencia social,54151,371116,0.14591394604382457,215
agregado,2. NOA-Resto,2025,3,"Electricidad, gas y agua",1917,371116,0.005165500813761735,6
agregado,2. NOA-Resto,2025,3,Transporte,4292,371116,0.011565117106241715,16
agregado,2. NOA-Resto,2025,3,Finanzas y seguros,1603,371116,0.004319404175513856,8
agregado,2. NOA-Resto,2025,3,Construcción,4299,371116,0.011583979133209023,25
agregado,2. NOA-Resto,2025,3,Servicios de seguridad / edificios,10657,371116,0.02871608877008806,38
agregado,2. NOA-Resto,2025,3,Otros,11298,371116,0.030443311525237392,60
agregado,2. NOA-Resto,2025,3,Sin clasificar / NsNr,544,371116,0.0014658489528880459,3
