fecha,la_rioja_region,salario_nominal,salario_sa,salario_real_sa,ipc_nacional,indice_salario_real_sa,indice_salario_sa,indice_ipc,fecha_base
2018-09-01,3. La Rioja,24006.060193881694,25081.4454967404,15178.953969352384,165.2383,103.47147079501559,2.1741068981982354,2.101165549782604,2025-01-01
2018-10-01,1. Resto país,34856.96475391953,37188.5132854447,21354.630985059604,174.1473,99.37791574744821,2.2006763837772314,2.2144521418318632,2025-01-01
2018-10-01,2. NOA-Resto,24528.79431202315,25843.7757261449,14840.181688803043,174.1473,94.62683598749085,2.0954659962727153,2.2144521418318632,2025-01-01
2018-10-01,3. La Rioja,25478.3348985909,25872.0721633897,14856.430253807954,174.1473,101.2729001108277,2.242639905599468,2.2144521418318632,2025-01-01
2018-11-01,1. Resto país,36343.17870864322,39098.5932636648,21765.116034879324,179.6388,101.28818751590498,2.3137077348003414,2.284281900529642,2025-01-01
2018-11-01,2. NOA-Resto,25721.663670564398,27341.3296516596,15220.169390832936,179.6388,97.04978704774477,2.2168907200341947,2.284281900529642,2025-01-01
2018-11-01,3. La Rioja,27114.42064383497,27006.0041730029,15033.502880782382,179.6388,102.47996386420458,2.3409312662193424,2.284281900529642,2025-01-01
2018-12-01,1. Resto país,53185.90396483247,39705.1507320294,21548.99874306364,184.2552,100.28244379536716,2.349601525062619,2.3429839123756633,2025-01-01
2018-12-01,2. NOA-Resto,37520.249827457876,27953.8494023079,15171.267569277774,184.2552,96.73796979746936,2.2665550695135352,2.3429839123756633,2025-01-01
2018-12-01,3. La Rioja,39449.882398842485,27855.6164485172,15117.954037941507,184.2552,103.05564816097753,2.4145772572061697,2.3429839123756633,2025-01-01
2019-01-01,1. Resto país,39594.497393748825,41051.9530427975,21650.720632918554,189.6101,100.75582633270743,2.4293002217051654,2.411076669336554,2025-01-01
2019-01-01,2. NOA-Resto,28756.9482817465,29253.3628646809,15428.166993573075,189.6101,98.37606158083439,2.37192226898766,2.411076669336554,2025-01-01
2019-01-01,3. La Rioja,28974.78904875515,28756.8782201343,15166.321952329701,189.6101,103.385361213085,2.4927003237180156,2.411076669336554,2025-01-01
2019-02-01,1. Resto país,39257.46381104818,41496.0078800267,21090.717554922056,196.7501,98.14974343001606,2.4555777172826727,2.5018687074139727,2025-01-01
2019-02-01,2. NOA-Resto,27490.709705604917,29755.6008386364,15123.550554046173,196.7501,96.43370733836888,2.412644747297823,2.5018687074139727,2025-01-01
2019-02-01,3. La Rioja,23405.34882276439,29336.7096880948,14910.645376086111,196.7501,101.64247224687735,2.542961206586556,2.5018687074139727,2025-01-01
2019-03-01,1. Resto país,41288.483061337756,43436.3274206604,21089.987876436597,205.9571,98.1463477297063,2.570398531905701,2.618944659035651,2025-01-01
2019-03-01,2. NOA-Resto,29203.153773701786,30744.7331957223,14927.736502272706,205.9571,95.18511991876913,2.4928456143092843,2.618944659035651,2025-01-01
2019-03-01,3. La Rioja,25733.201861053585,30608.6013695131,14861.639326594277,205.9571,101.30840917316279,2.6532111711945303,2.618944659035651,2025-01-01
2019-04-01,1. Resto país,41603.662424270915,45327.11128649,21275.169964140157,213.0517,99.00812847986846,2.682288011552816,2.7091593919970025,2025-01-01
2019-04-01,2. NOA-Resto,29501.003588874235,31690.5274339202,14874.571493172876,213.0517,94.84611890773982,2.5695325383336782,2.7091593919970025,2025-01-01
2019-04-01,3. La Rioja,27327.616325871375,31484.3458937271,14777.796137616877,213.0517,100.73686925696353,2.729122354678769,2.7091593919970025,2025-01-01
2019-05-01,1. Resto país,44212.10999646054,47673.5752331142,21712.33349005584,219.5691,101.04255370953885,2.8211429249795827,2.792034466081843,2025-01-01
2019-05-01,2. NOA-Resto,30358.047990140756,32960.4253906811,15011.413441454695,219.5691,95.71867699818708,2.6724984522669364,2.792034466081843,2025-01-01
2019-05-01,3. La Rioja,29608.634222676937,32522.7248381607,14812.068200015714,219.5691,100.97049409769673,2.8191309957808253,2.792034466081843,2025-01-01
2019-06-01,1. Resto país,63424.57049995064,48369.2605364429,21446.26404379011,225.537,99.80434795302331,2.862310965385639,2.8679221137068045,2025-01-01
2019-06-01,2. NOA-Resto,44048.59072964342,33758.0892413091,14967.871897431065,225.537,95.4410389859736,2.7371746626302693,2.8679221137068045,2025-01-01
2019-06-01,3. La Rioja,43400.05841456571,33424.1426157898,14819.8045623511,225.537,101.02323111706326,2.897267585187391,2.8679221137068045,2025-01-01
2019-07-01,1. Resto país,46877.06342702213,50401.9748393713,21866.935729073775,230.494,101.76202520470261,2.982599354627905,2.9309551855204963,2025-01-01
2019-07-01,2. NOA-Resto,32697.246657956664,35420.3290194484,15367.137113958886,230.494,97.98691106167696,2.8719524508935783,2.9309551855204963,2025-01-01
2019-07-01,3. La Rioja,33691.89310110709,34849.1628858455,15119.336245561924,230.494,103.06507035539998,3.020791024041943,2.9309551855204963,2025-01-01
2019-08-01,1. Resto país,48139.51479881728,52014.5093684787,21708.196092395487,239.6077,101.0232995273246,3.0780230847725814,3.046844736980743,2025-01-01
2019-08-01,2. NOA-Resto,33505.29576538337,36441.5882909795,15208.855262572737,239.6077,96.97764371542782,2.954758233591449,3.046844736980743,2025-01-01
2019-08-01,3. La Rioja,34471.21846929879,36299.4232206019,15149.52283278121,239.6077,103.27084544267991,3.14650231920581,3.046844736980743,2025-01-01
2019-09-01,1. Resto país,48864.110187983955,53160.2486397368,20953.138123629557,253.7102,97.50949087116203,3.1458236267536637,3.226171728155362,2025-01-01
2019-09-01,2. NOA-Resto,34455.491124321896,37666.9511494175,14846.447304608764,253.7102,94.6667880185132,3.0541131510060415,3.226171728155362,2025-01-01
2019-09-01,3. La Rioja,35879.6025886658,37681.98707131,14852.373720611155,253.7102,101.24524764827666,3.2663455557295835,3.226171728155362,2025-01-01
2019-10-01,1. Resto país,52599.02779809131,56221.0919968095,21453.019675879288,262.0661,99.83578659680266,3.326952827554162,3.3324251162465526,2025-01-01
2019-10-01,2. NOA-Resto,37150.97437991479,39244.4887182305,14975.034435293423,262.0661,95.48671014484269,3.182023111544283,3.3324251162465526,2025-01-01
2019-10-01,3. La Rioja,38531.7233083257,38876.8066362664,14834.733159407646,262.0661,101.12499596182566,3.3699147642351903,3.3324251162465526,2025-01-01
2019-11-01,1. Resto país,52662.29618912034,56724.6711961208,20761.856084501993,273.2158,96.61932281432608,3.3567527510622517,3.4742043861277554,2025-01-01
2019-11-01,2. NOA-Resto,37977.838445835776,40396.3481892841,14785.509545671994,273.2158,94.27822489703163,3.2754182245360624,3.4742043861277554,2025-01-01
2019-11-01,3. La Rioja,38917.72702293346,39226.297581751904,14357.258102112652,273.2158,97.87015728545836,3.400209297121527,3.4742043861277554,2025-01-01
2019-12-01,1. Resto país,77651.05739180333,58011.2219534096,20466.540487831324,283.4442,95.24501442635263,3.4328859873216406,3.6042684312637583,2025-01-01
2019-12-01,2. NOA-Resto,55107.593290103316,41104.1770547835,14501.682184635809,283.4442,92.46842999662299,3.3328104312535105,3.6042684312637583,2025-01-01
2019-12-01,3. La Rioja,57677.32040188309,40429.2350067904,14263.5605197744,283.4442,97.23144221496989,3.504482177016623,3.6042684312637583,2025-01-01
2020-01-01,1. Resto país,59475.21671444876,61552.7400924575,21237.539706033607,289.8299,98.83300877762291,3.642459714335132,3.6854688118731374,2025-01-01
2020-01-01,2. NOA-Resto,42877.94595529223,43794.7135558595,15110.488447140719,289.8299,96.35041820662421,3.550964613114472,3.6854688118731374,2025-01-01
2020-01-01,3. La Rioja,42472.80196080729,42862.6263547388,14788.89043357459,289.8299,100.81249654475276,3.715413118627547,3.6854688118731374,2025-01-01
