jurisdiccion,fecha,salario_promedio
Corrientes,2021-05-01,62585.95558174014
Córdoba,2021-05-01,75310.54618066584
Entre Ríos,2021-05-01,68740.10516569944
Formosa,2021-05-01,65017.32438204094
Jujuy,2021-05-01,66893.1722909334
La Pampa,2021-05-01,75162.75409896814
La Rioja,2021-05-01,59597.9535239136
Mendoza,2021-05-01,67961.22744222153
Misiones,2021-05-01,59427.60364080996
Neuquén,2021-05-01,124270.37555874676
Río Negro,2021-05-01,81884.3538842881
Salta,2021-05-01,66814.93323373773
San Juan,2021-05-01,71545.05989111298
San Luis,2021-05-01,81323.32399861414
Santa Cruz,2021-05-01,162707.93243055476
Santa Fe,2021-05-01,81213.34116344468
Santiago del Estero,2021-05-01,55788.41852800696
Tierra del Fuego,2021-05-01,114486.10116648958
Tucumán,2021-05-01,58278.12936151218
Buenos Aires,2021-06-01,126984.55299867089
C.A.B.A.,2021-06-01,150951.35871482285
Catamarca,2021-06-01,93061.82772272054
Chaco,2021-06-01,91098.30175948006
Chubut,2021-06-01,197494.1421111296
Corrientes,2021-06-01,91455.37992660022
Córdoba,2021-06-01,108851.76754229791
Entre Ríos,2021-06-01,101511.01865969128
Formosa,2021-06-01,95155.83733708617
Jujuy,2021-06-01,99959.70698636417
La Pampa,2021-06-01,108411.91420965116
La Rioja,2021-06-01,89570.66553438736
Mendoza,2021-06-01,97797.64009565144
Misiones,2021-06-01,78361.83654165869
Neuquén,2021-06-01,187328.0357555473
Río Negro,2021-06-01,119183.47372902358
Salta,2021-06-01,99251.28958232103
San Juan,2021-06-01,103236.17995908846
San Luis,2021-06-01,121041.54687127953
Santa Cruz,2021-06-01,231418.3954426162
Santa Fe,2021-06-01,119805.89637477807
Santiago del Estero,2021-06-01,81505.5679881009
Tierra del Fuego,2021-06-01,171994.21445626987
Tucumán,2021-06-01,84305.92820383457
Buenos Aires,2021-07-01,93700.26116469296
C.A.B.A.,2021-07-01,112952.2298884661
Catamarca,2021-07-01,68516.37251589652
Chaco,2021-07-01,66974.31840592672
Chubut,2021-07-01,148593.10665798705
Corrientes,2021-07-01,66961.41429744466
Córdoba,2021-07-01,79672.27995051235
Entre Ríos,2021-07-01,73915.92203315395
Formosa,2021-07-01,71038.98926278685
Jujuy,2021-07-01,75096.00808134497
La Pampa,2021-07-01,79724.16431704597
La Rioja,2021-07-01,67596.12752042935
Mendoza,2021-07-01,73368.0422860636
Misiones,2021-07-01,62633.56459048977
Neuquén,2021-07-01,138401.08196866995
Río Negro,2021-07-01,89062.50731301784
Salta,2021-07-01,73023.2947702517
San Juan,2021-07-01,77634.94048710316
San Luis,2021-07-01,90662.22861636571
Santa Cruz,2021-07-01,180385.24287184252
Santa Fe,2021-07-01,88205.05638451893
Santiago del Estero,2021-07-01,60728.214668629065
Tierra del Fuego,2021-07-01,125516.6980229154
Tucumán,2021-07-01,65292.267596516926
Buenos Aires,2021-08-01,95877.70205959897
C.A.B.A.,2021-08-01,114581.698472302
Catamarca,2021-08-01,71692.79882382526
Chaco,2021-08-01,70199.07266574017
Chubut,2021-08-01,151625.14805888655
Corrientes,2021-08-01,70902.5870272107
Córdoba,2021-08-01,82172.3811515426
Entre Ríos,2021-08-01,76220.08956960894
Formosa,2021-08-01,73714.82736821003
Jujuy,2021-08-01,76087.79617174719
La Pampa,2021-08-01,83808.55246589052
La Rioja,2021-08-01,71300.5535551091
Mendoza,2021-08-01,76338.86874657997
Misiones,2021-08-01,65168.750071972245
Neuquén,2021-08-01,140975.08345059145
Río Negro,2021-08-01,92558.1781586019
Salta,2021-08-01,75954.96731755095
San Juan,2021-08-01,79332.20942078042
San Luis,2021-08-01,90955.21428209242
