anio,la_rioja_region,sector_macro,vab_millones_2004,share
2007,3. La Rioja,Industria,868.7631066029397,0.27765968653705553
2007,3. La Rioja,Construcción,186.18091897268732,0.0595040641208582
2007,3. La Rioja,Comercio,529.733367907923,0.1693046122281488
2007,3. La Rioja,Adm. pública,301.00087299654746,0.09620091761308988
2007,3. La Rioja,Servicios,1102.0696898756605,0.3522252755752905
2008,1. Resto país,Agro,45558.52442960364,0.09055705032909488
2008,1. Resto país,Minería,22015.37353470655,0.04376013740912085
2008,1. Resto país,Industria,114055.64699831684,0.22670933913813585
2008,1. Resto país,Construcción,19848.76364716958,0.03945354927691811
2008,1. Resto país,Comercio,78712.45015308497,0.15645737870754173
2008,1. Resto país,Adm. pública,23337.734335927875,0.04638860475148301
2008,1. Resto país,Servicios,199563.4722869738,0.3966739403877055
2008,2. NOA-Resto,Agro,5209.016684471024,0.14254705645975588
2008,2. NOA-Resto,Minería,2626.476433226053,0.07187469480246297
2008,2. NOA-Resto,Industria,5071.535746878533,0.13878482950595086
2008,2. NOA-Resto,Construcción,1735.4187371673834,0.04749050496340244
