jurisdiccion,fecha,puestos_miles
Neuquén,2010-02-01,85.924
Río Negro,2010-02-01,97.943
Salta,2010-02-01,103.443
San Juan,2010-02-01,73.523
San Luis,2010-02-01,53.662
Santa Cruz,2010-02-01,52.264
Santa Fe,2010-02-01,456.919
Santiago del Estero,2010-02-01,43.698
Tierra del Fuego,2010-02-01,28.162
Tucumán,2010-02-01,146.697
Buenos Aires,2010-03-01,1766.92
C.A.B.A.,2010-03-01,1468.094
Catamarca,2010-03-01,31.33
Chaco,2010-03-01,59.809
Chubut,2010-03-01,90.108
Corrientes,2010-03-01,65.746
Córdoba,2010-03-01,464.021
Entre Ríos,2010-03-01,124.637
Formosa,2010-03-01,22.223
Jujuy,2010-03-01,51.166
La Pampa,2010-03-01,35.005
La Rioja,2010-03-01,28.765
Mendoza,2010-03-01,222.869
Misiones,2010-03-01,86.617
Neuquén,2010-03-01,86.286
Río Negro,2010-03-01,98.692
Salta,2010-03-01,104.504
San Juan,2010-03-01,72.982
San Luis,2010-03-01,53.675
Santa Cruz,2010-03-01,52.459
Santa Fe,2010-03-01,458.204
Santiago del Estero,2010-03-01,44.037
Tierra del Fuego,2010-03-01,28.502
Tucumán,2010-03-01,144.051
Buenos Aires,2010-04-01,1774
C.A.B.A.,2010-04-01,1470.726
Catamarca,2010-04-01,31.529
Chaco,2010-04-01,59.847
Chubut,2010-04-01,90.401
Corrientes,2010-04-01,65.705
Córdoba,2010-04-01,466.134
Entre Ríos,2010-04-01,124.85
Formosa,2010-04-01,22.355
Jujuy,2010-04-01,51.581
La Pampa,2010-04-01,34.973
La Rioja,2010-04-01,28.841
Mendoza,2010-04-01,222.777
Misiones,2010-04-01,86.702
Neuquén,2010-04-01,86.303
Río Negro,2010-04-01,97.311
Salta,2010-04-01,104.889
San Juan,2010-04-01,73.209
San Luis,2010-04-01,53.63
Santa Cruz,2010-04-01,52.129
Santa Fe,2010-04-01,458.632
Santiago del Estero,2010-04-01,44.742
Tierra del Fuego,2010-04-01,28.639
Tucumán,2010-04-01,147.4
Buenos Aires,2010-05-01,1781.345
C.A.B.A.,2010-05-01,1474.178
Catamarca,2010-05-01,31.954
Chaco,2010-05-01,59.466
Chubut,2010-05-01,90.509
Corrientes,2010-05-01,65.914
Córdoba,2010-05-01,467.719
Entre Ríos,2010-05-01,124.851
Formosa,2010-05-01,22.364
Jujuy,2010-05-01,51.823
La Pampa,2010-05-01,34.558
La Rioja,2010-05-01,28.511
Mendoza,2010-05-01,223.459
Misiones,2010-05-01,86.671
Neuquén,2010-05-01,86.624
Río Negro,2010-05-01,95.977
Salta,2010-05-01,105.034
San Juan,2010-05-01,73.232
San Luis,2010-05-01,53.454
Santa Cruz,2010-05-01,52.003
Santa Fe,2010-05-01,459.805
Santiago del Estero,2010-05-01,44.796
Tierra del Fuego,2010-05-01,28.983
Tucumán,2010-05-01,148.655
Buenos Aires,2010-06-01,1787.825
C.A.B.A.,2010-06-01,1477.686
Catamarca,2010-06-01,31.466
Chaco,2010-06-01,59.477
Chubut,2010-06-01,90.767
Corrientes,2010-06-01,65.94
Córdoba,2010-06-01,469.19
Entre Ríos,2010-06-01,125.955
Formosa,2010-06-01,22.282
Jujuy,2010-06-01,52.388
La Pampa,2010-06-01,34.427
La Rioja,2010-06-01,28.631
Mendoza,2010-06-01,224.977
Misiones,2010-06-01,87.007
Neuquén,2010-06-01,86.429
Río Negro,2010-06-01,96.416
Salta,2010-06-01,105.237
San Juan,2010-06-01,73.847
San Luis,2010-06-01,53.705
Santa Cruz,2010-06-01,52.467
Santa Fe,2010-06-01,461.058
Santiago del Estero,2010-06-01,44.938
Tierra del Fuego,2010-06-01,29.353
Tucumán,2010-06-01,148.921
Buenos Aires,2010-07-01,1793.814
C.A.B.A.,2010-07-01,1481.093
Catamarca,2010-07-01,30.89
Chaco,2010-07-01,59.543
Chubut,2010-07-01,91.874
Corrientes,2010-07-01,65.648
Córdoba,2010-07-01,470.247
Entre Ríos,2010-07-01,126.591
Formosa,2010-07-01,22.534
Jujuy,2010-07-01,52.482
La Pampa,2010-07-01,34.258
La Rioja,2010-07-01,28.647
Mendoza,2010-07-01,225.053
Misiones,2010-07-01,87.34
Neuquén,2010-07-01,86.707
Río Negro,2010-07-01,96.047
Salta,2010-07-01,104.873
San Juan,2010-07-01,74.052
San Luis,2010-07-01,53.824
Santa Cruz,2010-07-01,52.961
Santa Fe,2010-07-01,462.996
Santiago del Estero,2010-07-01,45.522
Tierra del Fuego,2010-07-01,29.026
Tucumán,2010-07-01,150.849
Buenos Aires,2010-08-01,1803.093
C.A.B.A.,2010-08-01,1484.261
Catamarca,2010-08-01,30.15
Chaco,2010-08-01,60.268
Chubut,2010-08-01,91.536
Corrientes,2010-08-01,65.699
Córdoba,2010-08-01,472.332
Entre Ríos,2010-08-01,127.029
Formosa,2010-08-01,22.856
Jujuy,2010-08-01,52.66
La Pampa,2010-08-01,34.142
La Rioja,2010-08-01,28.305
Mendoza,2010-08-01,225.814
Misiones,2010-08-01,88.08
Neuquén,2010-08-01,87.32
Río Negro,2010-08-01,96.121
Salta,2010-08-01,105.201
San Juan,2010-08-01,74.862
San Luis,2010-08-01,53.451
Santa Cruz,2010-08-01,53.21
Santa Fe,2010-08-01,464.043
Santiago del Estero,2010-08-01,46.107
Tierra del Fuego,2010-08-01,29.824
Tucumán,2010-08-01,151.143
Buenos Aires,2010-09-01,1807.912
C.A.B.A.,2010-09-01,1491.217
Catamarca,2010-09-01,30.131
Chaco,2010-09-01,60.961
Chubut,2010-09-01,92.286
Corrientes,2010-09-01,66.033
Córdoba,2010-09-01,473.823
Entre Ríos,2010-09-01,127.187
Formosa,2010-09-01,23.142
Jujuy,2010-09-01,52.979
La Pampa,2010-09-01,34.182
La Rioja,2010-09-01,28.6
Mendoza,2010-09-01,227.016
Misiones,2010-09-01,89.171
Neuquén,2010-09-01,87.499
Río Negro,2010-09-01,94.841
Salta,2010-09-01,106.226
San Juan,2010-09-01,75.617
San Luis,2010-09-01,53.824
Santa Cruz,2010-09-01,53.789
Santa Fe,2010-09-01,466.497
Santiago del Estero,2010-09-01,46.814
Tierra del Fuego,2010-09-01,30.419
Tucumán,2010-09-01,152.346
Buenos Aires,2010-10-01,1813.008
C.A.B.A.,2010-10-01,1494.858
Catamarca,2010-10-01,29.742
Chaco,2010-10-01,61.026
Chubut,2010-10-01,92.001
Corrientes,2010-10-01,66.178
Córdoba,2010-10-01,474.581
Entre Ríos,2010-10-01,127.274
Formosa,2010-10-01,23.562
Jujuy,2010-10-01,52.948
La Pampa,2010-10-01,34.157
La Rioja,2010-10-01,29.318
Mendoza,2010-10-01,227.592
Misiones,2010-10-01,89.064
Neuquén,2010-10-01,87.774
Río Negro,2010-10-01,93.954
Salta,2010-10-01,105.672
San Juan,2010-10-01,76.633
San Luis,2010-10-01,54.125
Santa Cruz,2010-10-01,53.483
Santa Fe,2010-10-01,467.818
Santiago del Estero,2010-10-01,46.039
Tierra del Fuego,2010-10-01,30.812
Tucumán,2010-10-01,150.411
Buenos Aires,2010-11-01,1815.43
C.A.B.A.,2010-11-01,1499.209
Catamarca,2010-11-01,30.31
Chaco,2010-11-01,61.711
Chubut,2010-11-01,92.686
Corrientes,2010-11-01,66.421
Córdoba,2010-11-01,476.448
Entre Ríos,2010-11-01,127.671
Formosa,2010-11-01,23.764
Jujuy,2010-11-01,52.919
La Pampa,2010-11-01,34.268
La Rioja,2010-11-01,29.38
Mendoza,2010-11-01,230.26
Misiones,2010-11-01,88.731
Neuquén,2010-11-01,87.881
Río Negro,2010-11-01,95.502
Salta,2010-11-01,105.2
San Juan,2010-11-01,76.754
San Luis,2010-11-01,54.447
Santa Cruz,2010-11-01,54.58
Santa Fe,2010-11-01,469.149
Santiago del Estero,2010-11-01,46.313
Tierra del Fuego,2010-11-01,31.082
Tucumán,2010-11-01,151.352
Buenos Aires,2010-12-01,1830.975
C.A.B.A.,2010-12-01,1502.916
Catamarca,2010-12-01,30.167
Chaco,2010-12-01,62.068
Chubut,2010-12-01,93.516
Corrientes,2010-12-01,66.992
Córdoba,2010-12-01,480.33
Entre Ríos,2010-12-01,127.277
Formosa,2010-12-01,23.937
Jujuy,2010-12-01,52.73
La Pampa,2010-12-01,34.49
La Rioja,2010-12-01,29.49
Mendoza,2010-12-01,232.852
Misiones,2010-12-01,90.061
Neuquén,2010-12-01,88.568
Río Negro,2010-12-01,95.543
Salta,2010-12-01,105.916
San Juan,2010-12-01,78.053
San Luis,2010-12-01,54.474
Santa Cruz,2010-12-01,55.027
Santa Fe,2010-12-01,472.273
Santiago del Estero,2010-12-01,46.675
Tierra del Fuego,2010-12-01,31.41
Tucumán,2010-12-01,151.647
Buenos Aires,2011-01-01,1838.873
C.A.B.A.,2011-01-01,1504.916
Catamarca,2011-01-01,30.218
Chaco,2011-01-01,62.529
Chubut,2011-01-01,93.964
Corrientes,2011-01-01,67.546
Córdoba,2011-01-01,482.566
Entre Ríos,2011-01-01,127.663
Formosa,2011-01-01,24.195
Jujuy,2011-01-01,53.201
La Pampa,2011-01-01,34.968
La Rioja,2011-01-01,29.74
Mendoza,2011-01-01,233.695
Misiones,2011-01-01,91.303
Neuquén,2011-01-01,88.926
Río Negro,2011-01-01,99.401
Salta,2011-01-01,107.498
San Juan,2011-01-01,79.732
San Luis,2011-01-01,54.595
Santa Cruz,2011-01-01,55.801
Santa Fe,2011-01-01,474.328
Santiago del Estero,2011-01-01,46.55
Tierra del Fuego,2011-01-01,31.717
Tucumán,2011-01-01,150.545
Buenos Aires,2011-02-01,1846.004
C.A.B.A.,2011-02-01,1508.964
Catamarca,2011-02-01,31.986
Chaco,2011-02-01,63.223
Chubut,2011-02-01,94.256
Corrientes,2011-02-01,67.955
Córdoba,2011-02-01,485.071
Entre Ríos,2011-02-01,127.949
Formosa,2011-02-01,24.407
Jujuy,2011-02-01,53.247
La Pampa,2011-02-01,35.424
La Rioja,2011-02-01,30.233
Mendoza,2011-02-01,235.362
Misiones,2011-02-01,92.506
Neuquén,2011-02-01,89.299
Río Negro,2011-02-01,100.696
Salta,2011-02-01,108.628
San Juan,2011-02-01,79.866
San Luis,2011-02-01,54.651
Santa Cruz,2011-02-01,56.685
Santa Fe,2011-02-01,476.156
Santiago del Estero,2011-02-01,46.817
Tierra del Fuego,2011-02-01,32.249
Tucumán,2011-02-01,153.391
Buenos Aires,2011-03-01,1850.05
C.A.B.A.,2011-03-01,1508.768
Catamarca,2011-03-01,32.54
Chaco,2011-03-01,63.76
Chubut,2011-03-01,94.773
Corrientes,2011-03-01,68.332
Córdoba,2011-03-01,485.766
Entre Ríos,2011-03-01,129.752
Formosa,2011-03-01,24.711
Jujuy,2011-03-01,53.897
La Pampa,2011-03-01,35.863
La Rioja,2011-03-01,30.82
Mendoza,2011-03-01,235.241
Misiones,2011-03-01,93.271
Neuquén,2011-03-01,89.207
Río Negro,2011-03-01,101.11
Salta,2011-03-01,109.34
San Juan,2011-03-01,79.184
San Luis,2011-03-01,54.449
Santa Cruz,2011-03-01,57.408
Santa Fe,2011-03-01,477.92
Santiago del Estero,2011-03-01,46.818
Tierra del Fuego,2011-03-01,32.339
Tucumán,2011-03-01,155.276
Buenos Aires,2011-04-01,1856.204
C.A.B.A.,2011-04-01,1517.621
Catamarca,2011-04-01,32.322
Chaco,2011-04-01,64.337
Chubut,2011-04-01,95.196
Corrientes,2011-04-01,69.181
Córdoba,2011-04-01,490.494
Entre Ríos,2011-04-01,131.197
Formosa,2011-04-01,25.027
Jujuy,2011-04-01,54.089
La Pampa,2011-04-01,36.129
La Rioja,2011-04-01,31.412
Mendoza,2011-04-01,237.108
Misiones,2011-04-01,93.955
Neuquén,2011-04-01,89.451
Río Negro,2011-04-01,101.017
Salta,2011-04-01,109.606
San Juan,2011-04-01,80.847
San Luis,2011-04-01,54.629
Santa Cruz,2011-04-01,57.794
Santa Fe,2011-04-01,480.773
Santiago del Estero,2011-04-01,47.078
Tierra del Fuego,2011-04-01,33.184
Tucumán,2011-04-01,155.373
Buenos Aires,2011-05-01,1860.746
C.A.B.A.,2011-05-01,1523.17
Catamarca,2011-05-01,32.176
Chaco,2011-05-01,65.759
Chubut,2011-05-01,94.97
Corrientes,2011-05-01,69.434
Córdoba,2011-05-01,493.518
Entre Ríos,2011-05-01,131.86
Formosa,2011-05-01,25.329
Jujuy,2011-05-01,54.483
La Pampa,2011-05-01,36.375
La Rioja,2011-05-01,31.347
Mendoza,2011-05-01,238.978
Misiones,2011-05-01,94.353
Neuquén,2011-05-01,89.642
Río Negro,2011-05-01,100.483
Salta,2011-05-01,110.382
San Juan,2011-05-01,81.65
San Luis,2011-05-01,54.923
Santa Cruz,2011-05-01,57.983
Santa Fe,2011-05-01,482.83
Santiago del Estero,2011-05-01,47.633
Tierra del Fuego,2011-05-01,33.656
Tucumán,2011-05-01,156.573
Buenos Aires,2011-06-01,1870.334
C.A.B.A.,2011-06-01,1525.129
Catamarca,2011-06-01,31.816
Chaco,2011-06-01,65.953
Chubut,2011-06-01,95.244
Corrientes,2011-06-01,69.629
Córdoba,2011-06-01,494.624
Entre Ríos,2011-06-01,132.376
Formosa,2011-06-01,25.986
Jujuy,2011-06-01,54.307
La Pampa,2011-06-01,36.474
La Rioja,2011-06-01,31.262
Mendoza,2011-06-01,238.587
Misiones,2011-06-01,94.619
Neuquén,2011-06-01,90.183
Río Negro,2011-06-01,100.222
Salta,2011-06-01,110.938
San Juan,2011-06-01,82.743
San Luis,2011-06-01,55.03
Santa Cruz,2011-06-01,58.601
Santa Fe,2011-06-01,485.359
Santiago del Estero,2011-06-01,48.069
Tierra del Fuego,2011-06-01,34.036
