fecha,ANO4,TRIMESTRE,provincia,empleados_publicos,pob_tot,n_obs_publicos,empleados_publicos_cada_1000
2022-Q3,2022,3,Neuquén,83616,611657,305,136.70406780270642
2022-Q3,2022,3,Río Negro,76231,688588,358,110.70625686186806
2022-Q3,2022,3,Salta,106535,1307458,336,81.48254093056909
2022-Q3,2022,3,San Juan,57043,698978,248,81.60914935806277
2022-Q3,2022,3,San Luis,64887,457363,391,141.8719922687231
2022-Q3,2022,3,Santa Cruz,69720,378953,287,183.98059917720667
2022-Q3,2022,3,Santa Fe,246248,3306470,365,74.47459072666621
2022-Q3,2022,3,Santiago del Estero,69966,730283,272,95.80669411721209
2022-Q3,2022,3,Tierra del Fuego,24769,172334,152,143.7267167245001
2022-Q3,2022,3,Tucumán,111839,1402905,322,79.71958186762468
2023-Q3,2023,3,Buenos Aires,1428392,17461449,981,81.80260412523612
2023-Q3,2023,3,C.A.B.A.,313927,3005004,184,104.46808057493435
2023-Q3,2023,3,Catamarca,50686,338773,442,149.61640980833775
2023-Q3,2023,3,Chaco,111691,1046481,248,106.73007918920649
2023-Q3,2023,3,Chubut,66353,596725,354,111.19527420503582
2023-Q3,2023,3,Corrientes,98312,969651,231,101.38905647495852
2023-Q3,2023,3,Córdoba,188523,3487843,277,54.05145816483139
2023-Q3,2023,3,Entre Ríos,114251,1254088,363,91.10285721576157
2023-Q3,2023,3,Formosa,44132,511185,238,86.33273668045815
2023-Q3,2023,3,Jujuy,87976,699388,440,125.7899763793488
2023-Q3,2023,3,La Pampa,34564,318102,217,108.65697166317722
2023-Q3,2023,3,La Rioja,73053,359105,573,203.4307514515253
2023-Q3,2023,3,Mendoza,135764,1675423,249,81.03267055543586
2023-Q3,2023,3,Misiones,113846,1007514,291,112.99694098543544
2023-Q3,2023,3,Neuquén,86001,615395,346,139.74926673112392
2023-Q3,2023,3,Río Negro,78249,685765,338,114.10468600759735
2023-Q3,2023,3,Salta,110141,1314719,308,83.77531624628533
2023-Q3,2023,3,San Juan,60582,703664,259,86.09506810068441
2023-Q3,2023,3,San Luis,61804,460874,387,134.1017284550658
2023-Q3,2023,3,Santa Cruz,69873,381207,277,183.29411579535528
2023-Q3,2023,3,Santa Fe,251223,3317731,352,75.72132882382569
2023-Q3,2023,3,Santiago del Estero,79516,733659,301,108.38277728481488
2023-Q3,2023,3,Tierra del Fuego,21628,175727,125,123.07727327047067
2023-Q3,2023,3,Tucumán,123423,1408591,343,87.62160201222356
2024-Q3,2024,3,Buenos Aires,1320223,17618696,925,74.93307109674859
2024-Q3,2024,3,C.A.B.A.,269197,3005583,162,89.56565165560225
2024-Q3,2024,3,Catamarca,55051,342572,481,160.69906472216059
2024-Q3,2024,3,Chaco,103602,1056766,263,98.03684070077955
2024-Q3,2024,3,Chubut,64836,606486,279,106.90436382702981
2024-Q3,2024,3,Corrientes,79983,978630,181,81.72956071242452
2024-Q3,2024,3,Córdoba,193137,3525366,277,54.78494998817144
2024-Q3,2024,3,Entre Ríos,113717,1267610,365,89.7097687774631
2024-Q3,2024,3,Formosa,45022,515723,212,87.29880187620098
2024-Q3,2024,3,Jujuy,81106,706991,373,114.71998936337238
