anio,la_rioja_region,letra,letra_desc,tipo_sector,vab_millones_2004,vab_total,share
2006,3. La Rioja,G,Comercio,Servicios,481.11485152304664,2851.713936585146,0.16871076911002136
2006,3. La Rioja,H,Hotelería y restaurantes,Servicios,91.66268962095387,2851.713936585146,0.032143017027408294
2006,3. La Rioja,I,Transporte y comunicaciones,Servicios,152.9799329827592,2851.713936585146,0.05364490842512372
2006,3. La Rioja,J,Finanzas,Servicios,72.11029392647447,2851.713936585146,0.025286650600313963
2006,3. La Rioja,K,Serv. inmobiliarios y profesionales,Servicios,292.51634244360423,2851.713936585146,0.10257562607906073
2006,3. La Rioja,L,Adm. pública y defensa,Servicios,230.3510258571195,2851.713936585146,0.0807763439740239
2006,3. La Rioja,M,Enseñanza,Servicios,175.06742051163488,2851.713936585146,0.06139024614834741
2006,3. La Rioja,N,Salud,Servicios,98.85071710202399,2851.713936585146,0.034663616092010685
2006,3. La Rioja,O,"Serv. comunitarios, sociales y personales",Servicios,57.14895347694348,2851.713936585146,0.02004021256963028
2006,3. La Rioja,P,Servicio doméstico,Servicios,24.69430740068018,2851.713936585146,0.008659461625471095
2007,1. Resto país,A,Agro,Bienes,44830.24553930891,484760.0181565201,0.09247925542579308
2007,1. Resto país,B,Pesca,Bienes,1914.9350428182913,484760.0181565201,0.003950274302943841
2007,1. Resto país,C,Petróleo y minería,Bienes,22041.294805953094,484760.0181565201,0.045468466829779605
2007,1. Resto país,D,Industria manufacturera,Bienes,109985.31910919244,484760.0181565201,0.2268861188830144
2007,1. Resto país,E,"Electricidad, gas y agua",Bienes,9324.516702041496,484760.0181565201,0.019235325424529506
2007,1. Resto país,F,Construcción,Bienes,19153.747635427917,484760.0181565201,0.039511813924479895
2007,1. Resto país,G,Comercio,Servicios,74704.22070337615,484760.0181565201,0.15410557369699482
2007,1. Resto país,H,Hotelería y restaurantes,Servicios,8964.213229457666,484760.0181565201,0.01849206389492973
2007,1. Resto país,I,Transporte y comunicaciones,Servicios,40608.671044672396,484760.0181565201,0.0837706690397074
2007,1. Resto país,J,Finanzas,Servicios,20454.16350674611,484760.0181565201,0.042194411132606725
2007,1. Resto país,K,Serv. inmobiliarios y profesionales,Servicios,59529.16411555446,484760.0181565201,0.12280130762833165
2007,1. Resto país,L,Adm. pública y defensa,Servicios,22171.449498084054,484760.0181565201,0.04573695987222548
2007,1. Resto país,M,Enseñanza,Servicios,17931.097112095136,484760.0181565201,0.0369896370172705
2007,1. Resto país,N,Salud,Servicios,14422.409299257859,484760.0181565201,0.029751647741297692
2007,1. Resto país,O,"Serv. comunitarios, sociales y personales",Servicios,15277.939393467996,484760.0181565201,0.03151650058015929
2007,1. Resto país,P,Servicio doméstico,Servicios,3446.63141906609,484760.0181565201,0.007109974605936326
2007,2. NOA-Resto,A,Agro,Bienes,5149.174000574054,35306.811041087785,0.14584081226089146
2007,2. NOA-Resto,B,Pesca,Bienes,0,35306.811041087785,0
2007,2. NOA-Resto,C,Petróleo y minería,Bienes,2883.5049631200804,35306.811041087785,0.0816699350095494
2007,2. NOA-Resto,D,Industria manufacturera,Bienes,4923.33571080071,35306.811041087785,0.13944436117641013
2007,2. NOA-Resto,E,"Electricidad, gas y agua",Bienes,662.3319782827602,35306.811041087785,0.018759325998374113
2007,2. NOA-Resto,F,Construcción,Bienes,1525.123362651207,35306.811041087785,0.043196293227286
2007,2. NOA-Resto,G,Comercio,Servicios,6519.562841045413,35306.811041087785,0.1846545368670755
2007,2. NOA-Resto,H,Hotelería y restaurantes,Servicios,551.7127691389285,35306.811041087785,0.0156262418743194
2007,2. NOA-Resto,I,Transporte y comunicaciones,Servicios,2631.1396300352344,35306.811041087785,0.07452215457729343
2007,2. NOA-Resto,J,Finanzas,Servicios,819.9779200440588,35306.811041087785,0.023224355184324676
2007,2. NOA-Resto,K,Serv. inmobiliarios y profesionales,Servicios,3334.5965338834826,35306.811041087785,0.09444626788873384
2007,2. NOA-Resto,L,Adm. pública y defensa,Servicios,2234.5283623358837,35306.811041087785,0.0632888753316034
2007,2. NOA-Resto,M,Enseñanza,Servicios,1801.203584611905,35306.811041087785,0.05101575394378667
2007,2. NOA-Resto,N,Salud,Servicios,1310.2418627109864,35306.811041087785,0.03711017291213901
2007,2. NOA-Resto,O,"Serv. comunitarios, sociales y personales",Servicios,741.7538957560248,35306.811041087785,0.02100880464375045
2007,2. NOA-Resto,P,Servicio doméstico,Servicios,218.62362609705673,35306.811041087785,0.006192109104462498
2007,3. La Rioja,A,Agro,Bienes,134.74680947263494,3128.877358604226,0.043065545251266955
2007,3. La Rioja,B,Pesca,Bienes,0,3128.877358604226,0
2007,3. La Rioja,C,Petróleo y minería,Bienes,6.382592775833033,3128.877358604226,0.002039898674290088
2007,3. La Rioja,D,Industria manufacturera,Bienes,868.7631066029397,3128.877358604226,0.27765968653705553
2007,3. La Rioja,E,"Electricidad, gas y agua",Bienes,38.2469011527698,3128.877358604226,0.01222384157934254
2007,3. La Rioja,F,Construcción,Bienes,186.18091897268732,3128.877358604226,0.0595040641208582
2007,3. La Rioja,G,Comercio,Servicios,529.733367907923,3128.877358604226,0.1693046122281488
2007,3. La Rioja,H,Hotelería y restaurantes,Servicios,103.07718527790047,3128.877358604226,0.03294382408260405
2007,3. La Rioja,I,Transporte y comunicaciones,Servicios,188.67300167421382,3128.877358604226,0.06030054235119645
2007,3. La Rioja,J,Finanzas,Servicios,80.59077170285215,3128.877358604226,0.02575708871465746
2007,3. La Rioja,K,Serv. inmobiliarios y profesionales,Servicios,326.1706592902909,3128.877358604226,0.10424526816090796
2007,3. La Rioja,L,Adm. pública y defensa,Servicios,301.00087299654746,3128.877358604226,0.09620091761308988
2007,3. La Rioja,M,Enseñanza,Servicios,195.82045316460685,3128.877358604226,0.0625848925098046
2007,3. La Rioja,N,Salud,Servicios,85.89335336544438,3128.877358604226,0.027451812110577865
2007,3. La Rioja,O,"Serv. comunitarios, sociales y personales",Servicios,58.09313991704086,3128.877358604226,0.018566767967842582
2007,3. La Rioja,P,Servicio doméstico,Servicios,25.504224330541305,3128.877358604226,0.008151238098356973
