tipo,provincia,ANO4,TRIMESTRE,rama,empleados_publicos,empleados_publicos_tot,share,n_obs
provincia,Buenos Aires,2016,3,Adm. pública y defensa,422652,927350,0.4557631962042379,421
provincia,Buenos Aires,2016,3,Enseñanza,269788,927350,0.2909235995039629,289
provincia,Buenos Aires,2016,3,Salud y asistencia social,120957,927350,0.13043295411656872,137
provincia,Buenos Aires,2016,3,"Electricidad, gas y agua",3771,927350,0.0040664258370625974,3
provincia,Buenos Aires,2016,3,Transporte,29374,927350,0.031675203536960156,27
provincia,Buenos Aires,2016,3,Finanzas y seguros,9994,927350,0.010776945058500027,12
provincia,Buenos Aires,2016,3,Construcción,4274,927350,0.004608831616973096,7
provincia,Buenos Aires,2016,3,Servicios de seguridad / edificios,6094,927350,0.006571413166549847,6
provincia,Buenos Aires,2016,3,Otros,50405,927350,0.054353803849679194,56
provincia,Buenos Aires,2016,3,Sin clasificar / NsNr,10041,927350,0.010827627109505581,9
provincia,C.A.B.A.,2016,3,Adm. pública y defensa,144841,282442,0.5128167907039322,112
provincia,C.A.B.A.,2016,3,Enseñanza,55912,282442,0.19795922702714186,50
provincia,C.A.B.A.,2016,3,Salud y asistencia social,49677,282442,0.17588389828708195,32
provincia,C.A.B.A.,2016,3,Transporte,4822,282442,0.01707253170562452,4
provincia,C.A.B.A.,2016,3,Finanzas y seguros,1524,282442,0.005395798075357065,2
provincia,C.A.B.A.,2016,3,Construcción,829,282442,0.002935115882198823,1
provincia,C.A.B.A.,2016,3,Servicios de seguridad / edificios,1164,282442,0.004121200104800277,1
provincia,C.A.B.A.,2016,3,Otros,21936,282442,0.07766550300592688,16
provincia,C.A.B.A.,2016,3,Sin clasificar / NsNr,1737,282442,0.006149935207936497,2
provincia,Catamarca,2016,3,Adm. pública y defensa,23553,49335,0.47740954697476434,268
provincia,Catamarca,2016,3,Enseñanza,15491,49335,0.3139961487787575,187
provincia,Catamarca,2016,3,Salud y asistencia social,3389,49335,0.06869362521536435,40
provincia,Catamarca,2016,3,"Electricidad, gas y agua",405,49335,0.0082091821222256,4
provincia,Catamarca,2016,3,Finanzas y seguros,556,49335,0.011269889530759096,6
provincia,Catamarca,2016,3,Construcción,2131,49335,0.04319448667274754,23
provincia,Catamarca,2016,3,Servicios de seguridad / edificios,729,49335,0.014776527820006082,10
provincia,Catamarca,2016,3,Otros,2925,49335,0.05928853754940711,31
provincia,Catamarca,2016,3,Sin clasificar / NsNr,156,49335,0.0031620553359683794,2
