jurisdiccion,subrubro,tipo_fila,fecha,anio,exportaciones_millones_usd,provisorio,la_rioja_region
Catamarca,Cereales,subrubro,1994-01-01,1994,3.058,FALSE,2. NOA-Resto
Catamarca,Fibras de algodón,subrubro,1994-01-01,1994,1.199,FALSE,2. NOA-Resto
Catamarca,Hortalizas y legumbres sin elaborar,subrubro,1994-01-01,1994,3.574,FALSE,2. NOA-Resto
Catamarca,Resto de productos,subrubro,1994-01-01,1994,15.344,FALSE,2. NOA-Resto
Catamarca,Total,total,1994-01-01,1994,25.035,FALSE,2. NOA-Resto
Chaco,Animales vivos,subrubro,1994-01-01,1994,6.611,FALSE,1. Resto país
Chaco,Cereales,subrubro,1994-01-01,1994,9.959,FALSE,1. Resto país
Chaco,"Extractos curtientes y tintóreos y materias albuminoideas, productos a base de almidón o féculas modificadas, colas enzimas",subrubro,1994-01-01,1994,41.174,FALSE,1. Resto país
Chaco,Fibras de algodón,subrubro,1994-01-01,1994,122.793,FALSE,1. Resto país
Chaco,Resto de productos,subrubro,1994-01-01,1994,49.757,FALSE,1. Resto país
Chaco,Semillas y frutos oleaginosos,subrubro,1994-01-01,1994,15.915,FALSE,1. Resto país
Chaco,Total,total,1994-01-01,1994,246.209,FALSE,1. Resto país
Chubut,Lanas elaboradas,subrubro,1994-01-01,1994,55.349,FALSE,1. Resto país
Chubut,Metales comunes y sus manufacturas,subrubro,1994-01-01,1994,143.826,FALSE,1. Resto país
Chubut,Pescados y mariscos elaborados,subrubro,1994-01-01,1994,51.903,FALSE,1. Resto país
Chubut,Pescados y mariscos sin elaborar,subrubro,1994-01-01,1994,88.875,FALSE,1. Resto país
Chubut,Petróleo crudo,subrubro,1994-01-01,1994,153.078,FALSE,1. Resto país
Chubut,Resto de productos,subrubro,1994-01-01,1994,47.363,FALSE,1. Resto país
Chubut,Total,total,1994-01-01,1994,540.394,FALSE,1. Resto país
Corrientes,"Café, té, yerba mate y especias",subrubro,1994-01-01,1994,3.488,FALSE,1. Resto país
Corrientes,Cereales,subrubro,1994-01-01,1994,25.518,FALSE,1. Resto país
Corrientes,Fibras de algodón,subrubro,1994-01-01,1994,1.64,FALSE,1. Resto país
Corrientes,Frutas frescas,subrubro,1994-01-01,1994,13.641,FALSE,1. Resto país
Corrientes,Resto de productos,subrubro,1994-01-01,1994,34.241,FALSE,1. Resto país
Corrientes,Textiles y confecciones,subrubro,1994-01-01,1994,18.732,FALSE,1. Resto país
Corrientes,Total,total,1994-01-01,1994,97.261,FALSE,1. Resto país
Córdoba,Cereales,subrubro,1994-01-01,1994,228.616,FALSE,1. Resto país
Córdoba,Grasas y aceites,subrubro,1994-01-01,1994,210.956,FALSE,1. Resto país
Córdoba,Material de transporte terrestre,subrubro,1994-01-01,1994,316.464,FALSE,1. Resto país
Córdoba,Residuos y desperdicios de la industria alimenticia,subrubro,1994-01-01,1994,224.316,FALSE,1. Resto país
Córdoba,Resto de productos,subrubro,1994-01-01,1994,332.108,FALSE,1. Resto país
Córdoba,Semillas y frutos oleaginosos,subrubro,1994-01-01,1994,286.841,FALSE,1. Resto país
Córdoba,Total,total,1994-01-01,1994,1599.301,FALSE,1. Resto país
Entre Ríos,Carnes,subrubro,1994-01-01,1994,51.95,FALSE,1. Resto país
Entre Ríos,Cereales,subrubro,1994-01-01,1994,76.076,FALSE,1. Resto país
Entre Ríos,Frutas frescas,subrubro,1994-01-01,1994,20.972,FALSE,1. Resto país
Entre Ríos,Productos lácteos,subrubro,1994-01-01,1994,1.117,FALSE,1. Resto país
Entre Ríos,Productos químicos y conexos,subrubro,1994-01-01,1994,11.591,FALSE,1. Resto país
Entre Ríos,Resto de productos,subrubro,1994-01-01,1994,43.438,FALSE,1. Resto país
Entre Ríos,Total,total,1994-01-01,1994,205.144,FALSE,1. Resto país
