CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNORXPHLLNQCDEIIAD00638637;3;2019;32;1;2;63300;10550;1;3226;3;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;6;0;6;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;3;0;0;0;1639
TQSMNOPWUHJNNQCDEIIAD00638660;3;2019;32;1;2;19900;19900;1;2133;3;2;2;0;1;2;2;2;0;2;0;2;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;0;1;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;1923
TQRMNOSPYHLLLOCDEFLID00635390;3;2019;5;1;82;23000;23000;1;619;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;435
TQRMNOTVSHLOLPCDEFLID00635335;3;2019;5;1;82;60000;30000;1;473;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;2;1;2;2;1;0;2;0;0;0;361
TQRMNOSVSHLKKNCDEHLEH00637657;3;2019;25;1;46;73000;12166,67;1;157;5;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;127
TQRMNOPSYHLMKMCDEGGFB00636041;3;2019;10;1;50;39000;13000;1;582;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;;3;1;;1;2;1;1;;1;1;1;1;2;2;2;2;0;3;0;0;0;491
TQRMNORWRHLOKOCDEGGFB00636193;3;2019;10;2;50;5500;2750;1;552;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;1;1;1;2;2;2;2;1;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;540
TQRMNORPUHLLKMCDEFNFF00635673;3;2019;7;1;54;0;0;1;0;4;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;96;0;2;0;0;0;308
TQRMNOTPQHLLKMCDEFNFF00635674;3;2019;7;1;54;0;0;1;0;4;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;308
TQRMNOSTSHLLKRCDEGGFB00636175;3;2019;10;1;50;35500;11833,33;1;548;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;3;0;3;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;1;3;0;0;465
TQRMNORSQHJLKSCDEGGFB00636173;3;2019;10;1;50;38500;19250;1;550;4;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;1;2;96;0;0;0;457
TQRMNOQUVHLMKPCDEIGED00638314;3;2019;30;1;42;150000;150000;1;131;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;96;0;98;0;0;0;119
